"area","month","date","threshold","lower","upper","gaussian_rho_min","gaussian_rho_max","hrr_proxy","ngmmr_5y5y","ngmmr_spot_only_5y5y"
"EZ",90,2018-06-01,4,0.00900449513769064,0.19905507641004,0.124659373608582,0.0111334048660189,0.0277892050087813,0.0277317189851617,0.0564093718522074
"EZ",91,2018-07-01,4,0.0093548996030759,0.194272822660254,0.122554512747242,0.0122346773922439,0.0197820598801897,0.0493514075861306,1.45278981170467e-06
"EZ",92,2018-08-01,4,0.0084165988411693,0.200071747238078,0.123417577278309,0.0114582127370644,0.0173679962025836,0.0557616472569063,0.0251516150730174
"EZ",93,2018-09-01,4,0.00816216514194412,0.199766897125467,0.122833647652482,0.0100853389827903,0.0175316754869841,0.00209915329350953,2.44129888839235e-05
"EZ",94,2018-10-01,4,0.00805555868758223,0.193535811873689,0.118205534393724,0.0112164237823283,0.017714543480312,0.08488659486406,0.000238357343313721
"EZ",95,2018-11-01,4,0.00823380085129755,0.187695767042739,0.116778436738572,0.00980875173704943,0.0243864560329426,0.0294935942815782,0.072041842699814
"EZ",96,2018-12-01,4,0.00639939867401651,0.159618305289364,0.114678732801638,0.00964925993817145,0.0215335425267046,5.91380575996139e-28,0.0614688163231667
"EZ",97,2019-01-01,4,0.00536216096795317,0.13530196672862,0.105357897063191,0.00664996521209593,0.0267286704115239,4.08790520134083e-32,2.71160719288634e-36
"EZ",98,2019-02-01,4,0.0054737920910285,0.133729532702124,0.102319146060656,0.00626849281253783,0.0214010758524635,3.93909444855519e-32,0.000138532819808112
"EZ",99,2019-03-01,4,0.00517066607697236,0.135306005311263,0.100693536740313,0.00570464511384727,0.0212585756011974,0.0282108237839821,3.62904488706523e-05
"EZ",100,2019-04-01,4,0.00546587116221797,0.146917081992357,0.104225013033886,0.00718020608915371,0.0330228683851604,0.000658805328252412,0.0196485846929575
"EZ",101,2019-05-01,4,0.00561834133922989,0.151091014103718,0.107119421246994,0.00673139356184627,0.034608662099971,9.91843687204491e-34,0.0184959900075221
"EZ",102,2019-06-01,4,0.00368109319693632,0.133390968798402,0.0912129485135715,0.00394069907415162,0.0229468942168662,1.37114768723839e-13,5.01417146788051e-05
"EZ",103,2019-07-01,4,0.00358075993135287,0.130941739950615,0.0865916329388616,0.00296675762354015,0.0204647395869939,0.105556619306932,0.0464916810589754
"EZ",104,2019-08-01,4,0.00367312019290877,0.135091552523961,0.0875695762554752,0.00302817803158972,0.0164602585163041,0.10713944029302,0.00303079445343955
"EZ",105,2019-09-01,4,0.00379758992609103,0.140925422145554,0.090909847588788,0.00371664993245291,0.0174449831280129,0.106316722630918,0.026209401555551
"EZ",106,2019-10-01,4,0.00235250856899882,0.130979340086413,0.0741785038886976,0.00192754705890463,0.00881896178122486,0.0905087348223911,0.0387571548561085
"EZ",107,2019-11-01,4,0.00316800717116683,0.127239547770314,0.0817551143560349,0.00238052546541689,0.0175130587161551,1.72752724983863e-08,0.0155404541589121
"EZ",108,2019-12-01,4,0.00271858896501376,0.123673773891008,0.0814774259307249,0.00222287512144115,0.0210939594489233,1.18315813413597e-12,0.010788072188756
"EZ",109,2020-01-01,4,0.00350463247174537,0.127397394914235,0.0862480343454931,0.002396225351742,0.0255607642747038,2.37433312593433e-12,2.55675051398884e-07
"EZ",110,2020-02-01,4,0.00311389290702269,0.125353894334997,0.0844173663715504,0.00248915436489638,0.0198495202084058,6.77416813579135e-13,0.0893046667043677
"EZ",111,2020-03-01,4,0.00192919321409568,0.127482612456387,0.0759635057905704,0.00192374258387495,0.0122808573329765,3.54231032326048e-09,0.001204144892071
"EZ",112,2020-04-01,4,0.000577862692825337,0.0819065835722484,0.0451343703226661,0.000187891277347085,2.72760448387765e-06,0.0512427888670263,0.042273853519465
"EZ",113,2020-05-01,4,0.000312463666043428,0.0669056845674319,0.0323050064251995,2.9426904403218e-05,1.36527987774761e-06,0.0371516553027412,0.000447746657804431
"EZ",114,2020-06-01,4,0.000563237779732328,0.096692369068419,0.0389646950021345,6.61435209176053e-05,3.18262811048244e-06,0.0399289243767001,0.00300104471531674
"EZ",115,2020-07-01,4,0.00227365375445465,0.144310849629791,0.0679639887262729,0.000762585842264629,0.00583931462448598,0.0755706592006351,0.0256244121843099
"EZ",116,2020-08-01,4,0.00235453327711166,0.129615054443368,0.0719801113654699,0.00118475503679738,0.00595005984404617,4.39154835542924e-13,0.0397779188242599
"EZ",117,2020-09-01,4,0.00224330110910753,0.154012160128386,0.0799662960767522,0.00172670034847833,0.00361572643891009,0.0097110209403871,0.0483386109078778
"EZ",118,2020-10-01,4,0.00209631910885355,0.146109246704092,0.0737333674624012,0.000943538992360771,0.00304192115638009,0.00956981679088258,0.00500802672176397
"EZ",119,2020-11-01,4,0.00167182621538231,0.164568872945387,0.0828300760327267,0.00175916175798985,0.00548084429775025,0.00944402253943407,0.0460648699440972
"EZ",120,2020-12-01,4,0.00254680398109675,0.135597623178488,0.088671734690999,0.00203148073224446,0.0171343606296453,0.0220893997671712,0.0705086198315492
"EZ",121,2021-01-01,4,0.00252779073874854,0.143199476420343,0.0926662182557755,0.00183211498236013,0.00942066181220304,0.0984353653359642,0.0391806494417491
"EZ",122,2021-02-01,4,0.00341568240762702,0.1532158754057,0.0966869024803441,0.00223657569494706,0.013701719529807,0.058439870353365,0.0379558859454488
"EZ",123,2021-03-01,4,0.00383834007861916,0.165295059028202,0.106330752027451,0.00356299315807918,0.0248625732271976,0.0301059385641032,0.0394619672197424
"EZ",124,2021-04-01,4,0.00493210752560702,0.175350442498889,0.115118550169587,0.00535827667517608,0.0296030615681631,2.81485393922545e-06,0.039763464392865
"EZ",125,2021-05-01,4,0.00494798590281154,0.210837216701733,0.121985126321997,0.00647653781763924,0.0331695350153027,0.0345518124951525,0.0528581769345918
"EZ",126,2021-06-01,4,0.00557109139948242,0.219010579067102,0.123102560715093,0.0050865101105102,0.0315144213677152,0.0345882358345777,0.040623549334789
"EZ",127,2021-07-01,4,0.00710665589273318,0.231436224465225,0.130899602026207,0.00913803902852073,0.021875485390492,0.0607826333597858,0.0528414528107353
"EZ",128,2021-08-01,4,0.00608365353627582,0.237466168195745,0.128411025763051,0.00737290157967097,0.0214673251452782,0.0487305243315156,0.0495733764266268
"EZ",129,2021-09-01,4,0.00758542502957604,0.226983986051076,0.141188878426915,0.0104300902367631,0.0165514007326714,0.102628084795057,0.0701111471759643
"EZ",130,2021-10-01,4,0.0110104891526677,0.206192960271539,0.150740865696118,0.0131400338225608,0.0129105384429821,0.0949695605100842,0.0660451577737056
"EZ",131,2021-11-01,4,0.0133643847370115,0.242835951366133,0.170453538109488,0.0200231594527243,0.015705144226379,0.11272918357238,0.0975528270763805
"EZ",132,2021-12-01,4,0.0136199965843979,0.232941155598869,0.16352320712802,0.0141057762716545,0.0125423098703026,0.00561533897788354,0.0936010374834004
"EZ",133,2022-01-01,4,0.0143715765014731,0.272617495556941,0.20277724393297,0.0311589543357356,0.0651308154406091,0.0834802018039844,0.0322080310446839
"EZ",134,2022-02-01,4,0.0102664142408521,0.267705681077494,0.189768598209321,0.0357626506113972,0.0647021062327703,0.0751329838778828,0.0429708069722116
