"area","month","date","q5_target","q5_model","q10_target","q10_model","q5y5y_ngmmr","q5y5y_gaussian_proxy","q5y5y_hrr_proxy"
"US",17,2012-05-01,0.16995339612982,0.173424579590232,0.224675247737822,0.222874693814584,0.381353414964156,0.38694980665032,0.106913606241969
"US",18,2012-06-01,0.129677111849198,0.132521509397386,0.184123518328625,0.182689568885911,0.319613039043059,0.377237223888669,0.0940300727021587
"US",19,2012-07-01,0.125115912720202,0.125153871025901,0.179568670121117,0.179295356491947,0.324267770589004,0.378203812751814,0.0948955697947096
"US",20,2012-08-01,0.141090653131778,0.144114227699397,0.193879180835666,0.191971218905915,0.343398871217802,0.379213153446952,0.101466512051339
"US",21,2012-09-01,0.147274069326817,0.146531645668542,0.194810629896232,0.194858862085407,0.337523451696427,0.376084233192803,0.107057259849678
"US",22,2012-10-01,0.167861287363097,0.167049533758934,0.226229745019095,0.226189344266239,0.376856277189472,0.399969178116044,0.0989004516816693
"US",23,2012-11-01,0.166894063622765,0.165106654843486,0.246896239800704,0.247582933544063,0.400974490470426,0.418582472709221,0.117539633295225
"US",24,2012-12-01,0.146808447077221,0.14744264790541,0.24634137214554,0.247156006347927,0.413708750219293,0.416551865354023,0.117977412783951
"US",25,2013-01-01,0.152232207316381,0.148669387216769,0.251002868444085,0.253334862346889,0.432138415617006,0.412908936330307,0.118698526768593
"US",26,2013-02-01,0.166143682139264,0.162691994504966,0.263550900010769,0.266518743728112,0.447924369133043,0.410410225720993,0.125583893040668
"US",27,2013-03-01,0.144696657747215,0.141773061140775,0.25170969607984,0.254161956643545,0.441895172726805,0.411528674090711,0.118001874860213
"US",28,2013-04-01,0.158201107263567,0.155050005696068,0.254956318902577,0.257648451962777,0.440351439081808,0.402948863043888,0.122078824303067
"US",29,2013-05-01,0.101467273280308,0.099894879694796,0.208857611372427,0.209606021474909,0.385817784408518,0.398664402145571,0.0921014342642633
"US",30,2013-06-01,0.0986126784590146,0.0967604514165432,0.197194474139734,0.198088029461256,0.371796918510455,0.387709067915875,0.0894067758864124
"US",31,2013-07-01,0.0943409944168132,0.0926470037491758,0.199684004362285,0.200710677576413,0.370012485870615,0.380956380014975,0.0839896701618606
"US",32,2013-08-01,0.10741965807429,0.105141739456597,0.218301317874843,0.219893881457672,0.401784538512333,0.391347939641323,0.0969728270400872
"US",33,2013-09-01,0.0758469281432146,0.0738392853441337,0.16466229737168,0.165463588927541,0.336217220508518,0.36821661415931,0.0812607854240628
"US",34,2013-10-01,0.0878571994651434,0.0892722941391528,0.181373451896251,0.17995537071711,0.449637683386322,0.394464312591006,0.114216870458929
"US",35,2013-11-01,0.0778670336831462,0.0765637076295902,0.159345990600323,0.159474879875068,0.330670539351803,0.378644969873871,0.0832732155715246
"US",36,2013-12-01,0.0751590390594353,0.0742678249667148,0.160018205384704,0.159961833122988,0.328336163542064,0.384004508957403,0.0831901884275938
"US",37,2014-01-01,0.0850460306477383,0.0837064954586605,0.179630191440311,0.179876527578009,0.366752597390935,0.396740422948673,0.0944781100666745
"US",38,2014-02-01,0.0821425996203072,0.0808168924385867,0.166338592089164,0.166570244940622,0.346236317730879,0.38170210907923,0.0880526083914925
"US",39,2014-03-01,0.0789122332594638,0.0774691381415285,0.158484278574812,0.158760604671205,0.338260689641339,0.376033327180979,0.0867097097484974
"US",40,2014-04-01,0.070475573854111,0.0693160731543996,0.146455853424624,0.146434835881365,0.31708343513876,0.371364482364558,0.0810082229508723
"US",41,2014-05-01,0.0710619924082742,0.0706682251000523,0.13546296364286,0.13392640723956,0.223479877952093,0.362500139422805,0.0487063855161375
"US",42,2014-06-01,0.0678099836209926,0.0673983088705588,0.142329894105639,0.140789005281962,0.235496926712213,0.369819972136255,0.0495732127286605
"US",43,2014-07-01,0.0643391884303491,0.0623151970345612,0.148836507327984,0.150052938377624,0.348777899354186,0.373394928749864,0.094364889431712
"US",44,2014-08-01,0.0494387635418478,0.0479969585887429,0.136634559158007,0.135855889436151,0.426519522107007,0.371490313200944,0.0915987465618533
"US",45,2014-09-01,0.0426725974992337,0.0381029415628478,0.11236745259407,0.112859621070124,0.32193209992833,0.356805788865835,0.0806298567123786
