"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","lr_mean_target_pct","lr_mean_weight","lr_mean_hrr_pct","lr_mean_ngmmr_pct","lr_mean_penalty_ngmmr","lr_prob_state1_ngmmr","lr_prob_state8_ngmmr","lr_extreme_cap","lr_extreme_weight","lr_extreme_penalty_ngmmr","persistence_cap","persistence_weight","q11_ngmmr","q88_ngmmr","persistence_penalty_ngmmr","theta_shrink_weight","theta_shrink_penalty_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","fwd_bin_weight","fwd_tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
56,0.0021998206073003,0.00602225114499423,6.540893190799,3.25598359325305,7.29103322970087,2.61752536845741,8.01258802436356,2.28637144183629,3.31498398118989,4.44132345748836,0.0524700062894855,0.132094192853149,0.00945903129980989,0.0179845208702536,0.0165002783193767,3.16256326337546e-05,0.03699922720722,0.0408793590863312,0.000400080837211804,0.0274937571412532,0.0153561964583481,0.00663673549162863,0.0783456926902079,0.135069482883558,0.00346963784689112,0.0509769707647986,0.0712195128244489,0.0736009065620871,NA,NA,NA,NA,2.5,10,1.89202908599824,2.95300026846992,0.000205209243233815,0.00328343651956018,0.0669395721962928,0.2,5,0,0.85,0,0.00055109958592487,0.498743880395018,0,0.05,0.000609419323929773,0,0,2,0,0,2,"high",TRUE,"2015-08","2015-08-01"
57,0.0018211246452369,0.00550636078738007,6.35552358452461,2.96329162788628,6.3512207216224,2.23417253358694,8.16681199869296,1.83477007354735,3.76074689703852,4.24091778782418,0.05855113161163,0.143709924351573,0.0191180862468469,0.0142827026610219,0.0131722994853182,2.66228396593071e-05,0.0391131553537105,0.0464299895539092,0.00142131368868635,0.0249780114347498,0.012790587619738,0.00614452258205764,0.0869746645953003,0.147177975574687,0.00735877917354433,0.0465769683322034,0.0668134993483521,0.0654764422087428,NA,NA,NA,NA,2.5,10,1.82668945390689,2.86530698121526,0.000133449190524608,0.00442471161345762,0.0645541552811241,0.2,5,0,0.85,0,0.00285390915984301,0.520805460027734,0,0.05,0.000694051917486696,0,0,2,0,0,2,"high",TRUE,"2015-09","2015-09-01"
58,0.001365229134678,0.0068372773225561,7.18922723830148,3.17738997449179,7.32608364377462,2.13164636840139,8.86990638008676,1.56509657697764,4.76531469104842,4.82638349230736,0.049016348077721,0.152514335844617,0.00885461265887645,0.0108566726230843,0.00473334819446851,2.00297983940812e-05,0.034583000370713,0.051345027273151,0.000342869793192179,0.0189641887967309,0.00571879526015366,0.00471447801910891,0.095066539443176,0.158801263509795,0.00379341079127225,0.0297817727611064,0.0469738344184751,0.0576719817871662,NA,NA,NA,NA,2.5,10,1.69058877972225,2.73321573804059,5.43895804698162e-05,0.00507923674998397,0.0517370900547769,0.2,5,0,0.85,0,0.000178704831898003,0.486077502730581,0,0.05,0.000630393738070319,0,0,2,0,0,2,"high",TRUE,"2015-10","2015-10-01"
59,0.00197685475589404,0.00761241249500182,7.20184706813849,3.7433786009023,9.06616120354146,2.53536603598264,8.08670775179489,2.98836176980032,2.83013822048056,5.16529409089757,0.0275152420691992,0.119526577973977,0.002245890417895,0.00991504056505488,0.0122023760202847,3.05968968832173e-05,0.0321927316680521,0.0354226248020488,2.88863772436669e-05,0.0263891855959753,0.0115436452402368,0.00611706819743988,0.068984153312873,0.119861485142603,0.000876270752315791,0.0406719458871195,0.0581108089032294,0.0756069201181442,NA,NA,NA,NA,2.5,10,1.90428896399434,2.95275256910063,0.000204984888827224,0.00263865194147421,0.0598272891282422,0.2,5,0,0.85,0,1.3254613103917e-05,0.463353057935965,0,0.05,0.000478937754559883,0,0,2,0,0,2,"high",TRUE,"2015-11","2015-11-01"
60,0.00213801964882087,0.00704477390153874,6.89775574249287,3.82092664916995,8.62707192492263,2.41882860523747,7.84070508240698,3.03948235808357,2.61420669844775,5.35810195390074,0.0291666024531119,0.114688889789003,0.00265023639076066,0.011480023742109,0.0147030865368865,3.60844896662722e-05,0.0330749291886467,0.033221639202753,3.9218384182253e-05,0.0290123276178601,0.0137973245487853,0.0073007743497181,0.0645807103012387,0.112285414533533,0.000964377119337425,0.0459198250423025,0.0641614291592327,0.0812493721282167,NA,NA,NA,NA,2.5,10,1.96805401524222,3.02239618803905,0.00027289777727773,0.00238997734124393,0.0691465858665192,0.2,5,0,0.85,0,2.4748055315726e-05,0.489982258420843,0,0.05,0.000489050980820949,0,0,2,0,0,2,"high",TRUE,"2015-12","2015-12-01"
61,0.00187961328821517,0.00699998954340733,7.29136402219064,3.31528351177697,8.17061537370543,2.55102029256822,8.21724783608385,2.42844471354162,5.02094117946347,4.53522502534963,0.0446570153043706,0.160078305142981,0.0111642154091779,0.0101567476097728,0.00827437392485963,2.52706201653249e-05,0.0454031550484365,0.0554613710677642,0.000538089833030562,0.0250828313881509,0.00854693943265249,0.00606516942957547,0.101600979630051,0.169530653725671,0.00483680599978468,0.0366258675448855,0.0554957354986575,0.0649682686488483,NA,NA,NA,NA,2.5,10,1.67322567029526,2.84241478065957,0.00011724788201414,0.00475069782025311,0.0681723773443743,0.2,5,0,0.85,0,0.000342757552025673,0.508968119763994,0,0.05,0.000663105532330271,0,0,2,0,0,2,"high",TRUE,"2016-01","2016-01-01"
62,0.00172301136053686,0.00958756983557401,8.18815338720802,4.47104594269589,11.3259231174306,2.44155070219594,7.76091006391256,3.02130559711819,3.55377379629737,6.69935057468416,0.0369883834717286,0.1841879778289,0.00339541126437005,0.00642614802525543,0.00321409496228333,6.10809400030692e-10,0.0393739180784755,0.0429998533379071,4.21361870044988e-05,0.0185124081739403,0.0063951066984626,8.6878089440481e-06,0.0490208975181416,0.0901085467676707,0.0011897822689538,0.0363382202604074,0.0496440764411415,0.0403976948520751,NA,NA,NA,NA,2.5,10,1.98307536273176,2.7712139229301,7.3556991991137e-05,0.00487837459097437,0.0159486351744208,0.2,5,0,0.85,0,3.83190815906406e-06,0.134660146511113,0,0.05,0.000498230839967396,0,0,2,0,0,2,"high",TRUE,"2016-02","2016-02-01"
63,0.00149430797131967,0.00992480403282056,8.33298413890892,4.51238237615622,11.3978072735544,2.29236118510585,8.11945577665414,2.64048184124813,3.53274697987135,6.98982975250434,0.0320089200416647,0.179966932152982,0.00309840492837138,0.00628524929894758,0.00315907514467001,6.595122732207e-10,0.0340340431361471,0.040848569069974,3.56428857389069e-05,0.0171315564714442,0.00621608900949231,9.04051615739861e-06,0.0457147108959224,0.0847085915234425,0.00106707439669565,0.0351494008143612,0.0477841279292789,0.0388573959223762,NA,NA,NA,NA,2.5,10,1.99279520011871,2.74357758806317,5.9330041406673e-05,0.00475118498209028,0.0152726900257156,0.2,5,0,0.85,0,3.5893093924263e-06,0.139769003867838,0,0.05,0.000479545779920497,0,0,2,0,0,2,"high",TRUE,"2016-03","2016-03-01"
64,0.0011419303265981,0.0104391693144049,8.74056352843701,4.35527010158739,11.2350900631122,2.04119011485957,8.98286720606838,2.01889342174566,4.71944916444999,6.97586878030076,0.0312047643652966,0.187773528809646,0.00331166280780165,0.00539229476867542,0.00228519493721524,6.99582860306416e-10,0.0300580786852845,0.044523057601831,4.08312398471991e-05,0.0134247736987965,0.00444167305146014,1.8239769446373e-05,0.0528500021570581,0.0991019263780843,0.0011749547648955,0.0259924936731143,0.036344745188396,0.0356249397900568,NA,NA,NA,NA,2.5,10,1.85339833397721,2.65308625334285,2.34354009625511e-05,0.0052343172376618,0.0164760977511537,0.2,5,0,0.85,0,4.487552204922e-06,0.186587798521794,0,0.05,0.000490370955269634,0,0,2,0,0,2,"high",TRUE,"2016-04","2016-04-01"
65,0.00135160866247627,0.016106592754123,10.4550533701239,4.95850232425022,15.3686966512253,2.13280844343189,9.1119662558849,3.09741651000219,2.9495181149888,7.7212288533611,0.0218182211724649,0.168817985488193,0.000414609981987371,0.00820904773279563,0.00179729230721081,9.05264589048597e-10,0.0219774311918569,0.037413249228835,7.00674332367184e-07,0.0139201775300984,0.00393159853179346,1.67413133981219e-05,0.0353139772627952,0.0605996188445642,0.000162288698122524,0.0244553432788422,0.0348035964446584,0.0409259114301029,NA,NA,NA,NA,2.5,10,2.1011936670035,2.726311028181,5.12166814763416e-05,0.00359349629939472,0.0160067057421288,0.2,5,0,0.85,0,4.38465133013271e-08,0.169870879478915,0,0.05,0.000323733592768944,0,0,2,0,0,2,"high",TRUE,"2016-05","2016-05-01"
