"month","date","lr_mean_target_pct","lr_mean_hrr_pct","lr_mean_ngmmr_pct","lr_mean_penalty_ngmmr"
83,2017-11-01,2.5,1.71280310117753,2.83176642604562,0.000110068961451085
84,2017-12-01,2.5,1.76949306768391,2.50012215835055,1.49226626091415e-11
85,2018-01-01,2.5,1.8877847143249,2.49260941959358,5.46206787438288e-08
86,2018-02-01,2.5,1.85926978282536,2.48201803548638,3.23351047769117e-07
87,2018-03-01,2.5,1.81686472048778,2.49903178174992,9.37446579794168e-10
88,2018-04-01,2.5,1.77522217875528,2.64669855846639,2.15204670561176e-05
89,2018-05-01,2.5,1.84183840232211,2.48870370666644,1.27606243077829e-07
90,2018-06-01,2.5,1.99519495395942,2.48728820212397,1.61589805240963e-07
91,2018-07-01,2.5,1.40557585597781,2.80055124733367,9.03310522738246e-05
92,2018-08-01,2.5,1.35569218375174,2.52626825444459,6.90021191565618e-07
93,2018-09-01,2.5,1.35794135637186,2.39204330847776,1.16546472444291e-05
94,2018-10-01,2.5,1.36245152132857,2.38015456550217,1.43629281699741e-05
95,2018-11-01,2.5,1.87269402339733,2.49468849054354,2.8212132706026e-08
96,2018-12-01,2.5,1.68899268233923,2.48418894886394,2.49989338026966e-07
97,2019-01-01,2.5,1.47218884692444,2.46193708295758,1.44878565377807e-06
98,2019-02-01,2.5,1.4915902361073,2.84546891725129,0.000119348772786776
99,2019-03-01,2.5,1.55169245082673,2.65751045034667,2.48095419684098e-05
100,2019-04-01,2.5,1.44004721986904,2.50156524652657,2.44999668894528e-09
101,2019-05-01,2.5,1.49294780108862,2.66546624303369,2.7379077583685e-05
102,2019-06-01,2.5,1.24432255019249,2.65017380514352,2.25521717512835e-05
103,2019-07-01,2.5,1.26053428334207,2.51461680015016,2.13650846629629e-07
104,2019-08-01,2.5,1.20774351496106,2.51724574002068,2.97415548860923e-07
105,2019-09-01,2.5,1.1866813298632,2.65357718080776,2.35859504648589e-05
106,2019-10-01,2.5,1.02874043758774,2.61808948134447,1.39451256042052e-05
107,2019-11-01,2.5,1.27334020026193,2.52553126778318,6.51845634616606e-07
108,2019-12-01,2.5,1.27030408217347,2.71675581208766,4.69830820737819e-05
109,2020-01-01,2.5,1.38838211799533,2.74374882951013,5.94134918875588e-05
110,2020-02-01,2.5,1.27649612494187,2.49891952590099,1.16742427863775e-09
111,2020-03-01,2.5,1.1010320132379,2.49651026856131,1.21782255141668e-08
112,2020-04-01,2.5,0.714312317080738,2.13748870430771,0.0001314144395045
113,2020-05-01,2.5,0.691956810216891,2.50709578544917,5.03501711405928e-08
114,2020-06-01,2.5,0.834993128913927,2.32728001714746,2.98321924765831e-05
115,2020-07-01,2.5,0.940219324073269,2.46565887450653,1.17931290015797e-06
116,2020-08-01,2.5,1.77441303496191,2.0218089275286,0.000228666701791346
117,2020-09-01,2.5,1.53804917533008,2.11330452280285,0.000149533392084731
118,2020-10-01,2.5,1.40182608267515,2.1293515906741,0.000137380243335817
