"area","month","date","threshold","q_common_tail","q_forward_tail","wedge"
"US",67,2016-07-01,4,0.27864822297022,0.295347155423415,0.0166989324531947
"EZ",68,2016-08-01,4,0.178518950672151,0.179082784929914,0.000563834257763496
"US",68,2016-08-01,4,0.168641341590842,0.184704879518376,0.0160635379275343
"EZ",69,2016-09-01,4,0.112743476422849,0.128882894441289,0.0161394180184398
"US",69,2016-09-01,4,0.222296073787354,0.229275311232732,0.00697923744537771
"EZ",70,2016-10-01,4,0.122685951354015,0.133922666536953,0.0112367151829374
"US",70,2016-10-01,4,0.251258378623876,0.259211891690553,0.00795351306667701
"EZ",71,2016-11-01,4,0.152653645798265,0.151562801341995,-0.00109084445627089
"US",71,2016-11-01,4,0.32802068440988,0.327938282677622,-8.24017322577524e-05
"EZ",72,2016-12-01,4,0.14939351540817,0.13363320132845,-0.0157603140797203
"US",72,2016-12-01,4,0.315616086592336,0.348300597095131,0.0326845105027943
"EZ",73,2017-01-01,4,0.174871515352892,0.190290441011553,0.0154189256586609
"US",73,2017-01-01,4,0.306823609526814,0.335604041545178,0.028780432018364
"EZ",74,2017-02-01,4,0.182436157798506,0.166189766733469,-0.0162463910650369
"US",74,2017-02-01,4,0.300995036555773,0.326090721617215,0.0250956850614418
"EZ",75,2017-03-01,4,0.165431634372528,0.14933048491055,-0.0161011494619787
"US",75,2017-03-01,4,0.295613958717289,0.322589393994533,0.0269754352772444
"EZ",76,2017-04-01,4,0.150958063641661,0.136643035245974,-0.0143150283956863
"US",76,2017-04-01,4,0.293100962409296,0.322383993410377,0.0292830310010808
"EZ",77,2017-05-01,4,0.208349979055415,0.20359148059179,-0.00475849846362528
"US",77,2017-05-01,4,0.263428263057342,0.263406017553706,-2.22455036353042e-05
"EZ",78,2017-06-01,4,0.193160496077027,0.187952250190974,-0.00520824588605301
"US",78,2017-06-01,4,0.259562693306601,0.25539663056449,-0.00416606274211153
"EZ",79,2017-07-01,4,0.170314154307559,0.170865141909342,0.000550987601783154
"US",79,2017-07-01,4,0.243474669786849,0.230847147049752,-0.0126275227370974
"EZ",80,2017-08-01,4,0.141878547481934,0.129280870227086,-0.0125976772548485
"US",80,2017-08-01,4,0.192587904366401,0.19474325571201,0.00215535134560937
"EZ",81,2017-09-01,4,0.168667314040181,0.185794098527911,0.0171267844877301
"US",81,2017-09-01,4,0.274745909317725,0.309441738735913,0.034695829418188
"EZ",82,2017-10-01,4,0.172159087193015,0.181220922870161,0.00906183567714619
"US",82,2017-10-01,4,0.292591273920102,0.327132482120905,0.0345412082008032
"EZ",83,2017-11-01,4,0.147443312092315,0.133956586622581,-0.0134867254697346
"US",83,2017-11-01,4,0.269950699361936,0.302974251201158,0.0330235518392217
"EZ",84,2017-12-01,4,0.153874934414081,0.14322624067695,-0.0106486937371313
"US",84,2017-12-01,4,0.280931068830019,0.312554935658449,0.0316238668284304
"EZ",85,2018-01-01,4,0.156331734008496,0.155141575852742,-0.00119015815575342
"US",85,2018-01-01,4,0.276387295810171,0.308494383154018,0.0321070873438474
"EZ",86,2018-02-01,4,0.159299909785105,0.157289011057715,-0.00201089872739062
"US",86,2018-02-01,4,0.288684355668702,0.303363205587726,0.0146788499190238
"EZ",87,2018-03-01,4,0.195690615796494,0.190721046985448,-0.00496956881104553
"US",87,2018-03-01,4,0.290936418595908,0.301915225473473,0.0109788068775654
"EZ",88,2018-04-01,4,0.142009620547976,0.1364226312511,-0.00558698929687557
"US",88,2018-04-01,4,0.318708475027821,0.36792054698661,0.0492120719587887
"EZ",89,2018-05-01,4,0.14598246491079,0.144116628974217,-0.00186583593657366
"US",89,2018-05-01,4,0.328398137403773,0.372539547180761,0.0441414097769871
"EZ",90,2018-06-01,4,0.209432479923574,0.215148100862943,0.00571562093936878
"US",90,2018-06-01,4,0.306252923923283,0.325976631856121,0.0197237079328381
"EZ",91,2018-07-01,4,0.232803339158025,0.246638786622441,0.0138354474644161
"US",91,2018-07-01,4,0.230322828925509,0.216882074196012,-0.0134407547294967
"EZ",92,2018-08-01,4,0.262801282567727,0.304634630703122,0.0418333481353947
"US",92,2018-08-01,4,0.295770907024113,0.309533332282421,0.0137624252583081
"EZ",93,2018-09-01,4,0.243650828014072,0.25777725084986,0.0141264228357877
"US",93,2018-09-01,4,0.300399419357394,0.333182231866518,0.0327828125091238
"EZ",94,2018-10-01,4,0.251516254752545,0.278062070576173,0.0265458158236281
"US",94,2018-10-01,4,0.243089211645976,0.277810580159713,0.0347213685137366
"EZ",95,2018-11-01,4,0.144850652860552,0.139917637507113,-0.00493301535343937
"US",95,2018-11-01,4,0.293827160400557,0.334214031932686,0.0403868715321286
"EZ",96,2018-12-01,4,0.138859619453938,0.125447574896132,-0.0134120445578061
"US",96,2018-12-01,4,0.255576435333952,0.243389008275209,-0.0121874270587431
"EZ",97,2019-01-01,4,0.151197490180638,0.157688395278609,0.00649090509797084
