"area","month","threshold","zc_slot","lower","upper","hrr","below","above"
"US",140,5,"Q",0.0230959756895001,0.220230013287925,0.00199866421167561,TRUE,FALSE
"US",141,5,"Q",0.0267966145574022,0.226899934406926,0.00130606372878008,TRUE,FALSE
"US",142,5,"Q",0.0196707885301018,0.172189703721161,0.00162952794089733,TRUE,FALSE
"US",143,5,"Q",0.0320954567170777,0.269644815018725,0.00185981185236977,TRUE,FALSE
"US",144,5,"Q",0.032897986344671,0.37682757374957,0.00138553407663903,TRUE,FALSE
"US",145,5,"Q",0.0288393448291289,0.299238762878645,0.00151630971695874,TRUE,FALSE
"US",146,5,"Q",0.034864360919987,0.385763374189519,0.00197090358039427,TRUE,FALSE
"US",147,5,"Q",0.0400629922278994,0.389988593180684,0.00226011418167002,TRUE,FALSE
"US",148,5,"Q",0.0382991926858356,0.401129682329431,0.0018929094847906,TRUE,FALSE
"US",149,5,"Q",0.0385545848408944,0.42214439032529,0.00180284640905935,TRUE,FALSE
"US",150,5,"Q",0.0392489437560883,0.422426721910632,0.00277548015063558,TRUE,FALSE
"US",151,5,"Q",0.0360337185128564,0.413359636284079,0.00214240402894298,TRUE,FALSE
"US",152,5,"Q",0.040840521419122,0.40894294062262,0.00216364184307059,TRUE,FALSE
"US",153,5,"Q",0.0399709034856425,0.413394555328013,0.00187830232986191,TRUE,FALSE
"US",154,5,"Q",0.0409272169292971,0.419374066251753,0.00191687959122222,TRUE,FALSE
"US",155,5,"Q",0.037422629347416,0.418190463590243,0.0012742143582019,TRUE,FALSE
"US",156,5,"Q",0.0386014538790105,0.419421304542717,0.00273012803524526,TRUE,FALSE
"US",157,5,"Q",0.0389777435171228,0.418813010855524,0.00205203767046749,TRUE,FALSE
"US",158,5,"Q",0.0391854049526473,0.411938483058736,0.00198914476696437,TRUE,FALSE
"US",159,5,"Q",0.0395722616590302,0.407697460650218,0.00141222950334848,TRUE,FALSE
"US",160,5,"Q",0.0413642361580501,0.407820282168567,0.00156086516428087,TRUE,FALSE
"US",161,5,"Q",0.0413069278261224,0.407155536455964,0.00157721314273306,TRUE,FALSE
"US",162,5,"Q",0.0392512907153184,0.411815875127146,0.00184315513262711,TRUE,FALSE
"US",163,5,"Q",0.0385246165061913,0.411679803576893,0.00168249482894757,TRUE,FALSE
"US",164,5,"Q",0.0360775756855595,0.377972431446185,0.00145694251131957,TRUE,FALSE
"US",165,5,"Q",0.0371953669502715,0.389166530618749,0.00157149049643041,TRUE,FALSE
"US",166,5,"Q",0.039534323988722,0.404331584377785,0.00166120779790221,TRUE,FALSE
"EZ",1,4,"N",0.0806933761192995,0.593524101567122,0.157685674196225,FALSE,FALSE
"EZ",2,4,"N",0.103758524944353,0.598972227877094,0.163047224884006,FALSE,FALSE
"EZ",3,4,"N",0.0878433753072327,0.572602116129595,0.177798661399285,FALSE,FALSE
"EZ",4,4,"N",0.0917615628143966,0.557050241150942,0.167427007041358,FALSE,FALSE
"EZ",5,4,"N",0.0850987738485052,0.546608077973328,0.13717311228057,FALSE,FALSE
"EZ",6,4,"N",0.0819013909107149,0.587165574756376,0.124227765163441,FALSE,FALSE
"EZ",7,4,"N",0.0867778618467687,0.567783167625285,0.119171602432846,FALSE,FALSE
"EZ",8,4,"N",0.0748451896728323,0.563450403669987,0.11449025574369,FALSE,FALSE
"EZ",9,4,"N",0.0615012484307217,0.535892598094166,0.107294133032501,FALSE,FALSE
"EZ",10,4,"N",0.0454062819969192,0.476116623311572,0.0832350688322072,FALSE,FALSE
"EZ",11,4,"N",0.0525094652451809,0.532771885913624,0.104853212872081,FALSE,FALSE
"EZ",12,4,"N",0.0638916974475287,0.578980034398518,0.14168493027418,FALSE,FALSE
"EZ",13,4,"N",0.0572257599672226,0.572246626464187,0.137144490293743,FALSE,FALSE
"EZ",14,4,"N",0.0867288498530461,0.615285466892409,0.151043714068768,FALSE,FALSE
"EZ",15,4,"N",0.0565649724335556,0.56283813526362,0.134520884404917,FALSE,FALSE
"EZ",16,4,"N",0.072876905247307,0.551060892568114,0.131483700551164,FALSE,FALSE
"EZ",17,4,"N",0.0753378579451376,0.569229898372674,0.141555998631735,FALSE,FALSE
"EZ",18,4,"N",0.0647716787085832,0.50419878867412,0.152200555539926,FALSE,FALSE
"EZ",19,4,"N",0.0849768790951325,0.53870632862451,0.168633603488925,FALSE,FALSE
"EZ",20,4,"N",0.0599287277621227,0.547545243552265,0.152737353080292,FALSE,FALSE
"EZ",21,4,"N",0.0810390742005068,0.563777474208556,0.170646262812129,FALSE,FALSE
"EZ",22,4,"N",0.0964171595326416,0.581228547718272,0.165938200231921,FALSE,FALSE
"EZ",23,4,"N",0.079244025278065,0.540838784832352,0.142152268078638,FALSE,FALSE
"EZ",24,4,"N",0.0753203135687756,0.531443645091623,0.147763693392161,FALSE,FALSE
"EZ",25,4,"N",0.0791367981450813,0.536581055474648,0.179321136943404,FALSE,FALSE
"EZ",26,4,"N",0.0851699674449233,0.53561918628,0.167662349816662,FALSE,FALSE
"EZ",27,4,"N",0.080492716216301,0.538121812932229,0.16283253687385,FALSE,FALSE
"EZ",28,4,"N",0.0815730057839017,0.535210642256585,0.151566231885637,FALSE,FALSE
"EZ",29,4,"N",0.076850469738498,0.538530279242835,0.150429574930522,FALSE,FALSE
"EZ",30,4,"N",0.0726017071417648,0.523770878757628,0.124138926328444,FALSE,FALSE
"EZ",31,4,"N",0.0543427006657983,0.479411880722741,0.101908051883029,FALSE,FALSE
"EZ",32,4,"N",0.0570051091267862,0.481312933747507,0.109336326124136,FALSE,FALSE
"EZ",33,4,"N",0.0658681724429899,0.481902862457909,0.116110833075451,FALSE,FALSE
"EZ",34,4,"N",0.0517160353812448,0.448599946485049,0.122617849182258,FALSE,FALSE
"EZ",35,4,"N",0.0491654278838376,0.436748658844199,0.114287597586028,FALSE,FALSE
"EZ",36,4,"N",0.0431024375390858,0.430183665546115,0.102077589458253,FALSE,FALSE
"EZ",37,4,"N",0.0452599196633879,0.435338692044382,0.104017389429008,FALSE,FALSE
"EZ",38,4,"N",0.0429495023765232,0.416262434031184,0.0945765366390115,FALSE,FALSE
"EZ",39,4,"N",0.0431925790439768,0.425051058301605,0.0992865350470702,FALSE,FALSE
"EZ",40,4,"N",0.0438997947269006,0.430824708100691,0.107018312341319,FALSE,FALSE
"EZ",41,4,"N",0.0458618955287473,0.411123956721856,0.099093912675813,FALSE,FALSE
"EZ",42,4,"N",0.0504318856796668,0.399455840784804,0.0889763773922924,FALSE,FALSE
