"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","lr_mean_target_pct","lr_mean_weight","lr_mean_hrr_pct","lr_mean_ngmmr_pct","lr_mean_penalty_ngmmr","lr_prob_state1_ngmmr","lr_prob_state8_ngmmr","lr_extreme_cap","lr_extreme_weight","lr_extreme_penalty_ngmmr","persistence_cap","persistence_weight","q11_ngmmr","q88_ngmmr","persistence_penalty_ngmmr","theta_shrink_weight","theta_shrink_penalty_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","fwd_bin_weight","fwd_tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
126,0.00653155059366774,0.014200554565993,8.40331354454297,4.78138380127923,10.9764184336251,2.47976251720991,7.19604456893528,3.26622323304405,6.29143993975696,7.19496051521968,0.00349341735886899,0.004233888689575,0.00248267904924368,0.103072114176327,0.0747141538276327,0.120778276317873,0.00270473350454206,0.000732073402629106,0.00421769005810302,0.0891853778424836,0.0213081091624956,0.0320035966456229,0.00293415372129286,0.00726875469432622,0.00773900156608354,0.0521006616566498,0.139485640155739,0.0432780469735899,0.0465913321524418,0.32192174429515,0,0.00331328517885188,2.5,10,2.54377337385493,2.56124443460245,3.75088076977371e-06,0.038199396441105,0.00959051330646291,0.2,5,0,0.85,0,0.923772300280288,0.106413439024714,0,0.05,0.0019080474779472,0,0,2,0,0,2,"high",TRUE,"2021-06","2021-06-01"
127,0.00608953989087359,0.0138812541165893,8.20364349514838,4.93916002936068,10.9344217099444,1.7454483787558,7.61493553019897,2.84934041079372,4.93462040348407,7.87531425197873,0.00362499387556769,0.00321504811741301,0.000218070664717276,0.0960973780829446,0.0680460612705131,0.1091920911314,0.00290829927846007,0.000556177937714461,4.32744385133782e-05,0.0811548614062488,0.0174394260728997,0.0198901459203444,0.0019603960161676,0.00488661746244129,0.000343980278741375,0.042505029408412,0.121423485130895,0.0219762041679111,0.0409374334771291,0.312329445064147,0,0.018961229309218,2.5,10,2.48777027502244,2.64849398265633,2.2050462885139e-05,0.000179183929078676,0.00441597631970089,0.2,5,0,0.85,0,0.327377710447148,0.134939059925997,0,0.05,0.00139998904779979,0,0,2,0,0,2,"high",TRUE,"2021-07","2021-07-01"
128,0.00596259806091734,0.0159125770514247,8.62683204485655,5.17165906614126,11.3983347093866,1.78087026209268,7.94134785989913,2.90570054125033,5.50269510434298,8.28393493234795,0.00355520957792132,2.56472154604065e-05,0.00034815906070722,0.100901960820043,0.0614907489696516,0.11393499548143,0.00283999847400684,3.4256267127882e-06,0.000138803288658172,0.0814076590784741,0.0142182058887926,0.0208703860054874,1.70739527222822e-05,5.51040989908891e-05,0.000664666678130643,0.0376055046948882,0.117161494942534,0.0217831085392099,0.0396423500819385,0.308590047630904,0,0.0178592415427286,2.5,10,2.52307763916567,2.64076432646346,1.98145956047116e-05,0.000347921426004484,0.0042326549322442,0.2,5,0,0.85,0,0.470831510276359,0.143816607241138,0,0.05,0.00134666955409062,0,0,2,0,0,2,"high",TRUE,"2021-08","2021-08-01"
129,0.00454356261911167,0.0238457929433635,7.92435578642156,7.43212109648029,9.7624734566063,2.49416007569514,8.59671568851565,2.86753800783885,4.37913636111789,12.2990106621895,0.00457800579022688,3.42747927065225e-07,0.00669726251735625,0.148794993251066,0.0582022092051171,0.162550788844687,0.00380641250267339,4.18388167877288e-08,0.0101999215926449,0.0941210148158458,0.0124695683074115,0.0593073858216873,3.41069705063082e-07,1.17773257122732e-06,0.0145710278383439,0.0323034179159712,0.104774038628839,0.0658163871056726,0.0312712988636957,0.393130313600105,0,0,2.5,10,2.47831724722707,2.54810562772002,2.3141514183372e-06,0.0578186279397322,0.0209217534904888,0.2,5,0,0.85,0,0.942510736034883,0.208968552898252,0,0.05,0.00228609997966791,0,0,2,0,0,2,"high",TRUE,"2021-09","2021-09-01"
130,0.00655925105075976,0.0145532322888356,8.38971642912577,5.01523096586521,11.039599405686,2.7549378253896,7.07428579513817,3.41305007230027,6.26448327750279,7.49793516277171,0.00341004734135984,0.00601196690522472,0.00280835769190431,0.110132930472718,0.0777172615645977,0.128783405728494,0.00271188129650981,0.00110756060779657,0.00447879202630615,0.0917348973014379,0.0230234520999113,0.0357468762032743,0.00477636738770694,0.0113823784529823,0.00745684045197501,0.0548370842453703,0.142011584642681,0.0465313867196566,0.0465808047836996,0.325224556817109,0,4.94180640429887e-05,2.5,10,2.52963136813551,2.54464924074249,1.99355469888104e-06,0.0466547151342474,0.010383339196665,0.2,5,0,0.85,0,0.94575708638337,0.112916174810175,0,0.05,0.00191547113163833,0,0,2,0,0,2,"high",TRUE,"2021-10","2021-10-01"
131,0.00304274411503182,0.0651364748427809,10.9868693950667,7.46939403569013,14.3343949810916,3.08548562607229,9.31030411836627,2.76946788955876,8.365240884897,12.2550139878017,0.00343752672323177,3.82748185684922e-07,0.000716150202682963,0.275572427399252,0.0870524439465045,0.284222092115316,0.00321657086055703,3.81531418641742e-08,0.00187263185264789,0.144633060653976,0.0299926835398385,0.125283779022853,3.97658875542272e-07,1.48124104120078e-06,0.00562832275883419,0.0792238452479614,0.19439698835177,0.109817508102714,0.0478946815556922,0.296459434936654,0,0,2.5,10,2.80605492259584,2.52097314212517,4.39872690602747e-07,0.0839131186951506,0.0169964243681975,0.2,5,0,0.85,0,0.935261349386147,0.186866548891409,0,0.05,0.0014810871048078,0,0,2,0,0,2,"high",TRUE,"2021-11","2021-11-01"
132,0.00413323866350981,0.0370285141197311,9.8525080477864,6.45280306269577,12.278458416611,3.58030310985011,8.90839653058716,2.60661832764054,7.81637221864877,10.2617236677575,0.00330311700182638,0.00378332469340303,0.00321608970458062,0.212781495231367,0.089731510240679,0.223170469312175,0.0025454911474249,0.00056569228654011,0.00591583325911086,0.129064882172934,0.0312254394316142,0.104491080703265,0.00269850912616832,0.00707071779963632,0.0105743442163459,0.0775315867152995,0.185369636195999,0.118482351312338,0.0312890317377329,0.358067754925248,0,0,2.5,10,2.72390488879261,2.52166652185893,4.69438169463685e-07,0.0988904171413967,0.0234596176433322,0.2,5,0,0.85,0,0.942443270085497,0.134865021706737,0,0.05,0.00204609251874041,0,0,2,0,0,2,"high",TRUE,"2021-12","2021-12-01"
133,0.00513160529553292,0.0484075671970499,8.80086160862361,5.75730593680168,10.8574549543604,4.25190282394358,7.51010122012517,3.23869777935956,7.62099381576601,8.41854346187674,0.00394374202166657,0.00479899661394125,0.00654338627191277,0.238521015534269,0.08593935134038,0.251934964044621,0.00385443920983879,0.000781199854428497,0.0111093010469638,0.151797220251753,0.0285107160283512,0.125805087137078,0.00362982176653186,0.00914791104867265,0.0171395663411205,0.0699703857271576,0.171373756376466,0.117899867443682,0.0356397427877676,0.398920421138819,0,0,2.5,10,2.65794909876319,2.51976352892608,3.90597075612002e-07,0.0932336564577442,0.0355678482365371,0.2,5,0,0.85,0,0.940334908767452,0.277455249744695,0,0.05,0.00234093169420638,0,0,2,0,0,2,"high",TRUE,"2022-01","2022-01-01"
134,0.00595791122901922,0.0249897844220454,7.683247138518,5.50940278838934,9.70972907108196,3.80703659953588,7.16124700613497,3.67221006936247,5.61556430449727,7.94241164825924,0.00445886380011582,0.00343139631470259,0.00608353890256139,0.165458939389522,0.0699998662157026,0.181601053107122,0.00428938906435993,0.000590815520845938,0.0099485429546359,0.108268920527126,0.0185550896371762,0.0696582706685704,0.00216269457948952,0.00539437098441164,0.0149566008607076,0.0454194141331697,0.127254833273197,0.0673673861275596,0.0270430437062068,0.352529581458621,0,0,2.5,10,2.50743119894048,2.5475678036991,2.26269594875629e-06,0.0554511398310606,0.0247169865671551,0.2,5,0,0.85,0,0.933208004448499,0.277680627933582,0,0.05,0.00249851830157033,0,0,2,0,0,2,"high",TRUE,"2022-02","2022-02-01"
135,0.0019242919942435,0.148278618683727,11.3457702291776,2.92669698908805,12.632041964449,0.74793986500392,9.54012185455055,2.26531406851757,11.6446166570052,4.47276244921698,0.00266949589920586,0.00794251137365996,0.000302888778670019,0.44072622346298,0.122877426716125,0.449837177329401,0.00275640013564041,0.00116185543809286,0.000926149234958447,0.231381882497294,0.0566976268994346,0.219991506838045,0.00757347672180549,0.0192793681378533,0.00398265203116252,0.12621869868349,0.248848771923964,0.107301084702749,0.0455939555484055,0.361267871018012,0,0,2.5,10,2.90695368319769,2.53648671394464,1.3312802944782e-06,0.0633184674814679,0.0180988344899427,0.2,5,0,0.85,0,0.910663718786532,0.468618482845836,0,0.05,0.00118700370729542,0,0,2,0,0,2,"high",TRUE,"2022-03","2022-03-01"
136,0.00283406031296206,0.114244864737619,10.4970380679108,2.5831472013945,11.4109008398914,2.64164344460751,7.93664515066406,2.25718613493939,11.7202572656111,2.81864844491403,0.00305064370230166,0.0149599398679185,0.0028905719440813,0.396723757685577,0.127914405141411,0.405873173810175,0.00324983674405725,0.00263156206833813,0.00545366903494589,0.232032724806616,0.0614455383545225,0.219747302308295,0.0171853136876894,0.0386323972115095,0.0100357704935202,0.128836569935489,0.247782100050908,0.138581095102597,0.0485411638103643,0.384817709775233,0,0,2.5,10,2.81692375627843,2.53432512497797,1.17821420475333e-06,0.0879604065004019,0.0325438688251497,0.2,5,0,0.85,0,0.943235596149463,0.425761969701936,0,0.05,0.0017235266879897,0,0,2,0,0,2,"high",TRUE,"2022-04","2022-04-01"
