"area","month","date","threshold","lower","upper","hrr_series","ngmmr_5y5y","below_lower","above_upper"
"US",36,2013-12-01,4,0.11990402620899,0.586087046017117,0.0831901884275938,0.32006727805611,TRUE,FALSE
"US",37,2014-01-01,4,0.135719573071485,0.611398076213313,0.0944781100666745,0.353862852707683,TRUE,FALSE
"US",38,2014-02-01,4,0.123999429968803,0.592391371019346,0.0880526083914925,0.322951535208444,TRUE,FALSE
"US",39,2014-03-01,4,0.11816794404143,0.58419881435049,0.0867097097484974,0.315893797777087,TRUE,FALSE
"US",40,2014-04-01,4,0.110184146640817,0.573936564641987,0.0810082229508723,0.303375725518606,TRUE,FALSE
"US",41,2014-05-01,4,0.100097495071152,0.56630093091625,0.0487063855161375,0.227289181758404,TRUE,FALSE
"US",42,2014-06-01,4,0.109484282426958,0.57156269989617,0.0495732127286605,0.231285964122566,TRUE,FALSE
"US",43,2014-07-01,4,0.118221269475398,0.578958329105156,0.094364889431712,0.305631837579591,TRUE,FALSE
"US",44,2014-08-01,4,0.113781400182498,0.571897634516696,0.0915987465618533,0.295153757794352,TRUE,FALSE
"US",45,2014-09-01,4,0.0920339802137654,0.538500620485614,0.0806298567123786,0.24867721589468,TRUE,FALSE
"US",46,2014-10-01,4,0.064684850721807,0.46364871094938,0.057969121975341,0.210828239918878,TRUE,FALSE
"US",47,2014-11-01,4,0.0633694714545237,0.450840041389452,0.0523955610516055,0.198304850622887,TRUE,FALSE
"US",48,2014-12-01,4,0.0534367449967853,0.428807550299758,0.0538486157717058,0.19216561338239,FALSE,FALSE
"US",49,2015-01-01,4,0.0407912741987556,0.433168819413673,0.0870758854668775,0.192091574771891,FALSE,FALSE
"US",50,2015-02-01,4,0.0350038266643097,0.366292717047425,0.0836105449053745,0.190515587196623,FALSE,FALSE
"US",51,2015-03-01,4,0.0455536627093241,0.397605679997256,0.110246633090298,0.244019350220541,FALSE,FALSE
"US",52,2015-04-01,4,0.0556722778886392,0.422120297040637,0.113977784818831,0.266144728446113,FALSE,FALSE
"US",53,2015-05-01,4,0.0615776943057342,0.452977013611787,0.129882387994489,0.282372585022078,FALSE,FALSE
"US",54,2015-06-01,4,0.0548209326706625,0.454562588709311,0.0564716779414123,0.174524807917545,FALSE,FALSE
"US",55,2015-07-01,4,0.0653839134460171,0.486088497164058,0.0701849644996883,0.22191371553172,FALSE,FALSE
"US",56,2015-08-01,4,0.0399562511665731,0.481612435820817,0.0452953369382139,0.129560899461772,FALSE,FALSE
"US",57,2015-09-01,4,0.035539731565851,0.45592672000359,0.076636468270823,0.169726672673477,FALSE,FALSE
"US",58,2015-10-01,4,0.0287807625971586,0.426041286828295,0.0352365899411347,0.0902294104598752,FALSE,FALSE
"US",59,2015-11-01,4,0.0292409946049184,0.456988794880437,0.0396365859590846,0.101119960105174,FALSE,FALSE
"US",60,2015-12-01,4,0.032298654326014,0.455838800701445,0.0466341743065993,0.119398693990299,FALSE,FALSE
"US",61,2016-01-01,4,0.0284322398204498,0.446638438556287,0.0320174802043821,0.134832865800544,FALSE,FALSE
"US",62,2016-02-01,4,0.018623123807571,0.39311412872523,0.0197765815099075,0.0890767600983584,FALSE,FALSE
"US",63,2016-03-01,4,0.020607023050343,0.378491556070791,0.029699561258793,0.0870085841068736,FALSE,FALSE
"US",64,2016-04-01,4,0.0261610962405969,0.365593320741731,0.0282798841490217,0.110658037470669,FALSE,FALSE
"US",65,2016-05-01,4,0.0283873366108014,0.372628832895672,0.0310656780618298,0.120298328105177,FALSE,FALSE
"US",66,2016-06-01,4,0.0225522007257253,0.354804298309,0.0377299105278113,0.0987263977598098,FALSE,FALSE
"US",67,2016-07-01,4,0.0169111119452553,0.337233368185269,0.0310805697745133,0.077839088169761,FALSE,FALSE
"US",68,2016-08-01,4,0.0165231756473013,0.366970907096411,0.0155646744805403,0.0706936073544224,TRUE,FALSE
"US",69,2016-09-01,4,0.0171093178151049,0.3682434127253,0.0161202199101145,0.0734758694420786,TRUE,FALSE
"US",70,2016-10-01,4,0.0250360865553525,0.352661245192046,0.0287534687297324,0.111694076586836,FALSE,FALSE
"US",71,2016-11-01,4,0.0327484227185157,0.375139918880943,0.0412608198608147,0.141630222550808,FALSE,FALSE
"US",72,2016-12-01,4,0.0588679202441577,0.467564353056388,0.0300197712341999,0.147673015246032,TRUE,FALSE
"US",73,2017-01-01,4,0.0589714512789056,0.466550093960502,0.0305117442892095,0.156693575442347,TRUE,FALSE
"US",74,2017-02-01,4,0.0589189759639229,0.469809273396857,0.0315014742971096,0.164994366716783,TRUE,FALSE
"US",75,2017-03-01,4,0.0541322580539253,0.451960007189222,0.0288581305008489,0.150315802379961,TRUE,FALSE
"US",76,2017-04-01,4,0.0494911883728789,0.438558101419933,0.0266485654175825,0.135054057101594,TRUE,FALSE
