"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_moment_proxy","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","lr_mean_target_pct","lr_mean_weight","lr_mean_hrr_pct","lr_mean_ngmmr_pct","lr_mean_penalty_ngmmr","lr_prob_state1_ngmmr","lr_prob_state8_ngmmr","lr_extreme_cap","lr_extreme_weight","lr_extreme_penalty_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","fwd_bin_weight","fwd_tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
102,0.00243367184778063,0.0138151018113882,11.9115967699337,5.02713636552694,13.9191564890528,3.83414702939929,12.045147459854,1.51251429356137,9.31825724758207,7.66993593073184,0.013977983451761,0.120258197451878,1.99480392923864e-09,0.00652580851316664,0.0145524491635453,0.00207739739734618,0.013141637912952,0.0482388492979987,9.68596722696299e-55,0.00767840264611275,0.00899428517400576,0.000171609836046365,0.196465970260879,0.219396856772971,0.0805045252727734,0.121280481722542,0.0307684344323435,0.0151590202608119,0.121280481722542,NA,NA,NA,NA,2.5,10,1.24432255019249,2.64701762751516,2.16141828001867e-05,0.12977309261902,0.0453362649564555,0.2,5,0,0,0,2,0.75,2,2,"high",TRUE,"2019-06",2019-06-01
103,0.00368409964402861,0.014533958950904,12.2533435987809,6.6683493667327,14.1861956727792,4.52768862177022,12.481185714828,3.28000492654638,9.66463364721865,10.1065450702274,0.0143118030499189,0.136874536949396,0.000847435515114453,0.00643582019282862,0.0114812234669803,0.00128728306193118,0.0111614617646528,0.0508291995388629,5.32684596160769e-06,0.00752539888070747,0.00762763684669325,0.0108970735103805,0.196319054730691,0.210880713475046,0.000649741520619029,0.116614711090801,0.0273601809102156,0.101377575485328,0.116614711090801,NA,NA,NA,NA,2.5,10,1.26053428334207,2.51461680015016,2.13650846629629e-07,0.00779054823234466,0.0943483890294396,0.2,5,0,0,0,2,0.75,2,2,"high",TRUE,"2019-07",2019-07-01
104,0.0035827108165377,0.0144705921193236,12.2186862845094,6.57514408724847,13.8705719403225,4.50747413557153,12.7957472806107,3.19345058921215,9.57940338104947,9.95902151597484,0.0159511138068174,0.14311394888075,0.00118911501138779,0.00617459630005002,0.00926675795422975,0.00126819366344147,0.0104440618573733,0.0548218232016809,1.01871150149904e-05,0.00748961920808622,0.00608273965834689,0.010919033165944,0.195334273864772,0.218735148045763,0.00083593779433369,0.118091570089875,0.0221163336535822,0.100415425909887,0.118091570089875,NA,NA,NA,NA,2.5,10,1.20774351496106,2.51728933329561,2.98921045806831e-07,0.00746434514646736,0.0948551479432433,0.2,5,0,0,0,2,0.75,2,2,"high",TRUE,"2019-08",2019-08-01
105,0.002683577309751,0.0135824693269053,11.8221026940462,5.66590041612153,12.6157645640548,3.14455036974913,13.1534174241919,2.47306361189564,9.33361831526376,8.96119645582255,0.0155592190695191,0.149614958889825,0.000185675472879909,0.00568197857319419,0.00988761125088715,0.00701163372765102,0.0109956699809756,0.0591163897419705,3.90022142255811e-11,0.00723824046949317,0.00645234307518011,0.0070089174581054,0.191128715077776,0.226188130387934,0.000191882604404375,0.122967865284682,0.0235283698192692,0.0852713173488751,0.122967865284682,NA,NA,NA,NA,2.5,10,1.1866813298632,2.65357718080776,2.35859504648589e-05,0.0523936125462477,0.004869780713279,0.2,5,0,0,0,2,0.75,2,2,"high",TRUE,"2019-09",2019-09-01
106,0.002688268802805,0.014208667729233,12.0679271117714,5.74870669498457,13.0866536577724,2.42095257636112,13.8151489619734,2.92859720528481,8.6478754341792,9.20354241730268,0.0188019806949156,0.175214465659713,0.000371050275240111,0.00472687779510739,0.00507114208753546,0.00618948784854298,0.0145860652969485,0.0775459831909202,3.58683847072936e-10,0.00528334919625784,0.00318899347903704,0.00699996753011952,0.207068331164833,0.255145534200186,0.000344766305657431,0.105334172939681,0.0121337624053764,0.074257286053989,0.105334172939681,NA,NA,NA,NA,2.5,10,1.02874043758774,2.61808948134447,1.39451256042052e-05,0.0503310040653627,0.0072832319669736,0.2,5,0,0,0,2,0.75,2,2,"high",TRUE,"2019-10",2019-10-01
107,0.00366077257437764,0.0149426171191915,12.4515107433033,6.64673600539074,14.3134653598448,4.67987571909082,12.5879793901961,3.20912159376383,10.0889961659381,10.0168657985607,0.0127697850537889,0.129576355493113,0.000475277878683639,0.00572065777022923,0.00974351397480239,0.00100342029411901,0.00709354733455084,0.0463880936212736,1.69057956566547e-06,0.00663848231419351,0.00650107612162591,0.00825752765795491,0.180847829115751,0.202392878148602,0.000382957604084654,0.112125057527851,0.0233199455543425,0.0953434558351063,0.112125057527851,NA,NA,NA,NA,2.5,10,1.27334020026193,2.52553126778318,6.51845634616606e-07,0.00718549970966542,0.0828477476803545,0.2,5,0,0,0,2,0.75,2,2,"high",TRUE,"2019-11",2019-11-01
108,0.00205327893702361,0.0136931489391708,11.8993240755974,4.67382980466133,13.6884635263852,4.63070258765317,12.0120279922575,1.54104556352501,9.64981296027665,6.45877908312894,0.01161509005378,0.11138307074664,3.11407326914954e-23,0.00618634522753148,0.0133245059815971,3.93331619393097e-14,0.00996987410599274,0.0428516306825752,9.4817967786182e-139,0.00640526445989753,0.0082741840376631,5.58971871335997e-12,0.185090747534315,0.209151800185771,0.0346242888211196,0.111407645559668,0.028144404464506,0.0622726568010269,0.111407645559668,NA,NA,NA,NA,2.5,10,1.27030408217347,2.7161722435212,4.67304388689886e-05,0.154803654045648,0.00237210191396981,0.2,5,0,0,0,2,0.75,2,2,"high",TRUE,"2019-12",2019-12-01
109,0.00227737880866099,0.0127748400005587,11.5555148840026,4.89190251331178,12.627909579971,5.07669503404361,11.3031052689022,1.61702608505691,10.6473228383197,6.58821104479818,0.0093891571860649,0.0922058482537478,3.8009074404028e-16,0.00695287962639613,0.0160566844599473,1.2675045688436e-09,0.00698441107446717,0.0319828020142785,7.66978535221591e-93,0.00761838623390354,0.0102056604194072,3.39434448030736e-08,0.168531892808395,0.183885094836469,0.0191749641200306,0.117437374026712,0.0336127047012491,0.0672130273408416,0.117437374026712,NA,NA,NA,NA,2.5,10,1.38838211799533,2.7016545126665,4.06645424787647e-05,0.147049271853485,0.00284896388175727,0.2,5,0,0,0,2,0.75,2,2,"high",TRUE,"2020-01",2020-01-01
110,0.00228799278846709,0.0137003194472631,11.9166585943326,5.02633650192511,13.3975500680611,1.76143149296975,12.191179075422,4.69438422404807,9.89449650494815,7.11704234526795,0.0107228865398372,0.108160143100654,0.0123893812594062,0.00631215886899505,0.0125160117609908,0.000105902396309328,0.0082162090841532,0.0409702977813468,0.0473262536210196,0.00689046934179782,0.00778031693588976,0.0034748938281345,0.176302032998221,0.205383769199615,0.0944246882232225,0.114674245479515,0.0264427377154888,0.0455254062330352,0.114674245479515,NA,NA,NA,NA,2.5,10,1.27649612494187,2.56330466242042,4.00748028416315e-06,0.200171339658725,0.0204976946470881,0.2,5,7.33931966302463e-08,0,0,2,0.75,2,2,"high",TRUE,"2020-02",2020-02-01
111,0.00278941363100446,0.0138775813146043,11.9479378323745,5.83110037806515,12.9291670290581,2.15385523960046,13.5023883105239,3.58027811905581,8.87591151293207,9.19498292843823,0.0168898427580626,0.162527244310118,0.000541330541870597,0.00508603190708368,0.00700851362674709,0.00454848909126669,0.0163369079118429,0.0681073250584048,1.64036184571719e-09,0.00501746505408018,0.00448372658889309,0.00338875794578263,0.205103088043441,0.241133596974707,0.000421492729141634,0.106389398232789,0.0167356150910033,0.082794543643889,0.106389398232789,NA,NA,NA,NA,2.5,10,1.1010320132379,2.49651026856131,1.21782255141668e-08,0.0458920688548328,0.00244061376956088,0.2,5,0,0,0,2,0.75,2,2,"high",TRUE,"2020-03",2020-03-01
112,0.00159730396065665,0.0114992233672809,10.9051620815594,4.42968170401668,8.31309394365222,0.593072335712412,14.6759209283191,3.10271833229532,8.50161714410739,6.9919699764624,0.0470070214932674,0.248716413762323,0.046989909727846,0.00206874900596266,1.554931158426e-06,1.57480697496165e-12,0.0252269645674794,0.143784149151613,0.000423366420503661,0.00185222336654289,9.0598799960174e-07,1.82795669988206e-06,0.196816374072116,0.325581955863562,0.0134945966278852,0.0822315188077845,4.18452078099568e-06,0.0587651035133337,0.0822315188077845,NA,NA,NA,NA,2.5,10,0.714312317080738,2.46654414496898,1.1192942358564e-06,0.174381276972609,0.00428058920650599,0.2,5,0,0,0,2,0.75,2,2,"high",TRUE,"2020-04",2020-04-01
