"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_moment_proxy","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","lr_mean_target_pct","lr_mean_weight","lr_mean_hrr_pct","lr_mean_ngmmr_pct","lr_mean_penalty_ngmmr","lr_prob_state1_ngmmr","lr_prob_state8_ngmmr","lr_extreme_cap","lr_extreme_weight","lr_extreme_penalty_ngmmr","persistence_cap","persistence_weight","q11_ngmmr","q88_ngmmr","persistence_penalty_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","fwd_bin_weight","fwd_tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
12,0.00433872865551677,0.0128266698658915,6.68669894418526,5.52287513719452,2.79293034911483,2.28228309050477,4.65455224312121,3.81381369086639,10.2308607551639,8.47068228475607,0.0710725955839657,0.0451625437287228,0.0388242523919166,0.141988215703617,0.0985234682334073,0.131022817416767,0.0667183105149306,0.016676353734927,0.0825677049479879,0.161584700834917,0.086128240584525,0.181591719292656,0.280713743901642,0.135752898047426,0.166944505679323,0.371823753572135,0.175187000756862,0.245459270266211,0.371823753572135,NA,NA,NA,NA,2.5,10,2.15449233530683,2.13074723520246,0.000136347604310629,0.119218584981897,0.192554701177765,0.2,5,0,0.9,5,0.78775287286337,0.902509878748317,1.57487283281345e-05,0,0,2,0.75,2,2,"high",TRUE,"2011-12",2011-12-01
13,0.00449271432033764,0.0122453378674581,6.53687994201253,5.59203053944348,2.33856625867501,2.76106419226558,4.69398048711362,3.71354781297854,10.0344433412741,8.50873103518479,0.0668280969236945,0.048193581872935,0.0367967175515932,0.13962704123588,0.0951096696144113,0.127714767009627,0.0655611112550222,0.0181547737875736,0.0795168870132874,0.154789188013373,0.0827248538163552,0.176492035355217,0.278856599856879,0.141471822140666,0.165780352871349,0.368403104042827,0.170729949387677,0.238339067118614,0.368403104042827,NA,NA,NA,NA,2.5,10,2.11436977540612,2.10969089765661,0.000152341195372102,0.111849515378882,0.187549860097266,0.2,5,0,0.9,5,0.774588088162912,0.902349010765707,1.37946289435163e-05,0,0,2,0.75,2,2,"high",TRUE,"2012-01",2012-01-01
14,0.0037166930974826,0.0182947295133828,6.68919364077633,4.99394152064094,2.38485942291201,1.90888448236471,4.58429510536719,3.89321099173117,10.3697935664729,7.48447886907269,0.065460457312122,0.0405485385320149,0.0500730743418628,0.162688636434131,0.104069952925404,0.153814921765603,0.0549993675804952,0.0166810636025116,0.100714296594814,0.193429814843441,0.0982048780311583,0.208811705020131,0.263317100339563,0.131929035054726,0.186613059385214,0.393577632621393,0.185693763150377,0.271032010476253,0.393577632621393,NA,NA,NA,NA,2.5,10,2.18717034809416,2.04097391637169,0.00021070494545114,0.150041296700382,0.201461310010639,0.2,5,5.33856736798163e-06,0.9,5,0.818146505944939,0.901058502600526,2.80106938830124e-06,0,0,2,0.75,2,2,"high",TRUE,"2012-02",2012-02-01
15,0.0046066258767688,0.0129341699257524,6.51502364630559,5.66935536277581,2.54617497436765,2.87933520964232,4.53593708651838,3.96945476421756,10.013933646815,8.50750423530009,0.0694861252710472,0.0502513362445235,0.0316749027377885,0.139603408594105,0.0931805935343669,0.126912498328286,0.0599230311805945,0.0191400309035339,0.0752961963270636,0.155704525983647,0.0807063453916154,0.178105529037994,0.27619362579348,0.145156780740142,0.162780530814565,0.370559818289081,0.168154822522736,0.238059339278893,0.370559818289081,NA,NA,NA,NA,2.5,10,2.09010485940059,2.12337709117397,0.000141844815452583,0.110056214907776,0.194462340098561,0.2,5,0,0.9,5,0.774383480143098,0.902308167335537,1.33190911220969e-05,0,0,2,0.75,2,2,"high",TRUE,"2012-03",2012-03-01
16,0.00405998244651107,0.0138433927569655,6.69552425582648,5.56652393486886,2.45971907250648,3.03149876881519,4.86798455342249,3.47341600057238,10.2343853578547,8.46781923838975,0.0498814353184025,0.047102623683427,0.0277502775518855,0.128291595487348,0.0903947423765538,0.124678493641349,0.0605749737092235,0.0177994793612031,0.071674079843127,0.162377327558104,0.078880270570029,0.178023620244163,0.273554010314601,0.140405716089603,0.154964615553631,0.371507073055458,0.164366558565153,0.240336131940366,0.371507073055458,NA,NA,NA,NA,2.5,10,2.09027461297579,2.1594069711658,0.000116003611290457,0.117175314499918,0.200135813970794,0.2,5,4.61135866571869e-08,0.9,5,0.797726748430631,0.902093191482209,1.09536264529783e-05,0,0,2,0.75,2,2,"high",TRUE,"2012-04",2012-04-01
17,0.00406154095997858,0.0121243596562148,6.31669561823406,5.50212378762721,1.66108572428737,2.82442602475918,4.62133659215246,3.42452236220579,9.77680791050196,8.43299251419892,0.0570142017855568,0.0515495031667132,0.0306086048866393,0.131679354555869,0.0987484495572942,0.127675331426382,0.0625694421858776,0.020012755364116,0.0757371424142041,0.164614552301414,0.0863528154715046,0.18123556060443,0.272141717922016,0.147030922464528,0.161892632729308,0.376637063942347,0.176366204865617,0.242209876254473,0.376637063942347,NA,NA,NA,NA,2.5,10,2.11467183499541,2.133144991911,0.000134582596959978,0.117684329052448,0.200111120026484,0.2,5,3.08691507142664e-08,0.9,5,0.787729479723859,0.902228353738834,1.24139009634363e-05,0,0,2,0.75,2,2,"high",TRUE,"2012-05",2012-05-01
18,0.00634405571726828,0.00471832713577919,4.91675718874441,6.98314623917985,2.27332527252106,5.99545227251766,3.95115145825594,2.42454146276593,7.19332316238111,10.2210148682314,0.106823255559567,0.107952213917289,0.0300362002244835,0.0867524143124605,0.110124622932705,0.100098868491102,0.100271451686638,0.0494605508342238,0.0709423263410664,0.124292646307582,0.0892238476415062,0.135387233487316,0.300210085296355,0.21342443357044,0.171994007704693,0.351958837442837,0.196573689937522,0.1857320737717,0.351958837442837,NA,NA,NA,NA,2.5,10,1.96244450693867,1.75678551470301,0.000552367771155263,0.0918301027806822,0.1373880230955,0.2,5,0,0.9,5,0.714306479700243,0.902946142768575,2.16993930320664e-05,0,0,2,0.75,2,2,"high",TRUE,"2012-06",2012-06-01
19,0.00540602414977381,0.00568404342725167,4.86949528794723,6.33755251703156,2.24540705003942,5.21357625516773,3.7269055173739,1.50351381598597,7.22525262687901,9.5421058763299,0.0949143303799853,0.0967733498716069,0.0305334034305804,0.0947845521888745,0.123109651416506,0.111536212586285,0.0949000314916785,0.042655248803145,0.075037657567974,0.14734040371092,0.102757291924827,0.154524930901312,0.288688458400569,0.198947321996279,0.169126745284138,0.366965099433902,0.213663840728484,0.209747125675435,0.366965099433902,NA,NA,NA,NA,2.5,10,2.08338607484061,1.88747091432606,0.000375191880796547,0.110660675675442,0.162843454484305,0.2,5,0,0.9,5,0.763315363266938,0.903287369786373,2.70170002809007e-05,0,0,2,0.75,2,2,"high",TRUE,"2012-07",2012-07-01
20,0.00510534168879492,0.00581445123888839,5.29865733469096,6.25903651469863,1.6684081786673,4.51612561667888,4.21682473601749,3.4744041989222,7.97885404970476,9.22278369874742,0.0707845555994077,0.0809070191938255,0.0301470319255053,0.117188894265503,0.109730246448101,0.114333198209774,0.0700045235407704,0.034579728878352,0.0713037177757614,0.140480112345504,0.0925245610187644,0.158434527404443,0.282609680258714,0.184809839979206,0.164955699703298,0.362978555949127,0.193257705440829,0.213885852993649,0.362978555949127,NA,NA,NA,NA,2.5,10,2.04922877544573,1.98966955308697,0.000260437165046452,0.0955367819191722,0.170134621104081,0.2,5,0,0.9,5,0.735941977345184,0.902540042649293,1.61295416505682e-05,0,0,2,0.75,2,2,"high",TRUE,"2012-08",2012-08-01
21,0.00399777281553031,0.00714877550917154,5.49386184363094,5.53966510817134,2.70536026255093,3.2718247007877,4.01944409280396,2.89630389474693,8.18978930775057,8.5422628974214,0.0551848625068624,0.0678493635815126,0.0311523011509045,0.12651765285758,0.123350942560748,0.127826862276544,0.0671031165643943,0.0281368284144846,0.0763778760430911,0.167538037713377,0.108599508527335,0.181145419972946,0.275480080136,0.166540015610195,0.16325551943584,0.376428668449226,0.211194769949138,0.24174082338551,0.376428668449226,NA,NA,NA,NA,2.5,10,2.18343577438732,2.12623507205141,0.000139700221364415,0.117061567555556,0.199580016050543,0.2,5,0,0.9,5,0.784686451597265,0.902524697272342,1.593524079243e-05,0,0,2,0.75,2,2,"high",TRUE,"2012-09",2012-09-01
