"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_moment_proxy","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","fwd_bin_weight","fwd_tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
38,0.00242527018802605,0.00780131138597452,8.20488101660229,4.37053938738366,6.36973460930013,1.99170880364553,6.93830957616682,3.74572475766326,10.6417366403307,6.26956822208078,0.0396333050988231,0.0969623137551765,0.0541456465676648,0.0329323935428543,0.0376822737659097,0.0237635791658516,0.0352986449030027,0.0254580247810104,0.0823820513337424,0.0642950257732804,0.0359569861810041,0.0755270056516478,0.213294851754092,0.0809399999885329,0.153755793441741,0.323832608427548,0.119618007303091,0.202268657782396,0.323832608427548,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2014-02",2014-02-01
39,0.00230016869166147,0.00719091933940923,7.96117600374016,4.25162840655727,5.99801859932277,1.70657669776238,6.60331240397665,3.57240520054669,10.5147994876389,6.2092309813773,0.042879228641705,0.0956680891933801,0.0594022181841879,0.0318170148099183,0.0404200720694581,0.0236998487294831,0.0364951490774348,0.0249165188677913,0.0864175188001762,0.0630761854912819,0.0384439306148515,0.0742776959039827,0.21517044473711,0.0801181014819586,0.154154776746998,0.322014163090479,0.124830588423774,0.201980136927655,0.322014163090479,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2014-03",2014-03-01
40,0.00222369338268274,0.00665041337921874,7.65548836276045,4.18380853597063,6.17413015537702,1.58955974734134,6.26658300855566,3.52391058982731,9.92116729212988,6.12928344600877,0.0427602712673268,0.103984892317713,0.0632618194200724,0.0339026308505062,0.0420300566364115,0.0264212211233425,0.0361931850234095,0.0277233974516913,0.0882538109478611,0.0646445984704569,0.0410504602588955,0.075742543048454,0.217802373815432,0.0854251525919474,0.154760455034202,0.321254132087994,0.134229930482614,0.203184226409463,0.321254132087994,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2014-04",2014-04-01
41,0.00200858695488773,0.00756497248669962,8.2161138297931,4.04059275099524,7.29962946762979,1.72953700561995,6.28558451616547,2.73274459063753,10.4747513726009,6.20644649430883,0.0340977197781341,0.088655553028285,0.0362212998862895,0.0198649594670058,0.0400870343563801,0.0148014181069733,0.0353777165190882,0.0226372814666566,0.0788293487403224,0.0574069243831907,0.0385810264289799,0.0683832209117828,0.20898093324228,0.068538953067642,0.157991599700797,0.31143877908774,0.124040302500589,0.194836804355215,0.31143877908774,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2014-05",2014-05-01
42,0.00250882373548112,0.00895896115847212,9.02254437600092,5.09692024416858,7.8229755654676,4.13742200157048,7.5119234559252,2.25986663039595,11.2512657219148,7.46394868149494,0.0232597560972435,0.0733024450269872,0.124822651434523,0.0145496117764987,0.0375085425718856,2.22783128997033e-07,0.0293766587476731,0.0180004357148349,0.0596630870974594,0.0526900798101765,0.0352127646503428,0.0617905772368725,0.191844257643371,0.0531537147259694,0.0525560791196275,0.307687693797538,0.111297743452781,0.271170697529262,0.307687693797538,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2014-06",2014-06-01
43,0.00283767571199647,0.00916120395214839,9.03125264562975,5.29386729469625,8.02662727301661,2.21232928562293,7.28315690099301,2.82252619783181,11.2791601293344,8.438841022089,0.0227671308582444,0.0730500372663218,0.000896344272068846,0.0107164278431532,0.0358020173380783,0.00417403533257148,0.0268890154432278,0.0179749394496413,1.00508163187765e-05,0.0528302980540976,0.0335330747547476,0.0678339633934781,0.188359925422478,0.0530409613212899,0.000150468878280276,0.305545621092043,0.107217648565627,0.268240927393495,0.305545621092043,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2014-07",2014-07-01
44,0.00180889640050479,0.00794246699542735,8.41920377840373,3.89632509940067,8.09960065908217,2.05826358303895,6.82897194640928,2.49732749112985,10.0205083755972,5.92207347686953,0.0273331747621782,0.0911461711407707,0.000152080348170778,0.00973550208088814,0.0324879147125704,0.00851508649907952,0.0254845646614655,0.023706583765457,0.0446921465925951,0.0452237895607408,0.0311243609420297,0.0563765356123828,0.185536210685076,0.0724208843995177,0.140654063514172,0.297247976423629,0.107038509645706,0.188444842265142,0.297247976423629,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2014-08",2014-08-01
45,0.00183251650248099,0.00789110770225326,8.50777983312361,3.97310301396438,7.19228910715048,1.84746654542556,7.49721679537166,2.66283673205427,10.4503430943235,6.07065157793415,0.0317838491145242,0.0918776269977849,0.000375965091056728,0.0091379723082422,0.024353136513906,0.0086238960874983,0.0240346748027688,0.024179321506181,0.0452899931408755,0.0381170610461545,0.022440293400991,0.0495510145468917,0.185065085279638,0.0812328351542814,0.137619933900128,0.284475654550111,0.0832606833707035,0.175754086822377,0.284475654550111,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2014-09",2014-09-01
46,0.00264348123906481,0.00809576290762641,8.80753116700828,5.18892565582499,8.14357781232291,2.09144842214743,8.14789911668056,2.87064733861796,10.0005847915262,8.25591156322662,0.0316060847381155,0.0960497434132516,0.000379281664303173,0.00947604610284947,0.0185276759517431,1.09286360503665e-07,0.020535771156551,0.0258650721603122,3.61317169926385e-06,0.028255573956124,0.0168736664585924,0.0405700527254176,0.178184017539986,0.0900187126349354,6.61179243192012e-05,0.259323821206143,0.0683166323793388,0.207202386452013,0.259323821206143,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2014-10",2014-10-01
47,0.00191335491506843,0.00811811632665518,8.85939960065159,4.32932834335952,8.62896743472003,1.22894337968891,8.98881373375182,3.39905651104401,8.95594956007081,6.57003536657881,0.0301977005671178,0.110933083079499,8.10427014731941e-05,0.00609639487133795,0.0139344996756563,2.42005971539919e-06,0.020420068593988,0.0318801731305273,0.0505354264830084,0.019814925579369,0.0126650201111964,0.0299353398261413,0.170789245981372,0.11260870235787,0.139205446902229,0.236018504799116,0.058333136070636,0.153146288035002,0.236018504799116,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2014-11",2014-11-01
