"area","month","date","threshold","horizon","q_target","q_ngmmr","q_hrr_form_refit"
"US",88,2018-04-01,4,"5y5y",0.27151420515749,0.260968453008959,0.154920727300808
"US",89,2018-05-01,4,"5y5y",0.27338188624122,0.270727383906686,0.152401748148092
"US",90,2018-06-01,4,"5y5y",0.264587579093348,0.256419479899827,0.147465957791213
"US",91,2018-07-01,4,"5y5y",0.258729143547619,0.22355310771658,0.144888041070262
"US",92,2018-08-01,4,"5y5y",0.256862743094943,0.246697693066083,0.137002617657389
"US",93,2018-09-01,4,"5y5y",0.256546647858112,0.228003549190429,0.133111761176978
"US",94,2018-10-01,4,"5y5y",0.259111860097667,0.190468074510551,0.148318299427724
"US",95,2018-11-01,4,"5y5y",0.238227587402072,0.22868195471702,0.118965147626303
"US",96,2018-12-01,4,"5y5y",0.230695663376367,0.228616784515781,0.0794135585814204
"US",97,2019-01-01,4,"5y5y",0.167464044495949,0.165613892240794,0.0556240848711967
"US",98,2019-02-01,4,"5y5y",0.207554333920143,0.209957807617554,0.0710319499370139
"US",99,2019-03-01,4,"5y5y",0.219462328640335,0.203916880893761,0.0746631027123623
"US",100,2019-04-01,4,"5y5y",0.205153340519226,0.202635504319256,0.0706208428572136
"US",101,2019-05-01,4,"5y5y",0.20301825386977,0.200640710217325,0.0696042811684602
"US",102,2019-06-01,4,"5y5y",0.166939429536188,0.173898330853684,0.0580415733054372
"US",103,2019-07-01,4,"5y5y",0.149972923371869,0.149196641003628,0.0546140374426961
"US",104,2019-08-01,4,"5y5y",0.146585555893021,0.143425016135022,0.0524058883887035
"US",105,2019-09-01,4,"5y5y",0.141326130883921,0.109959654369209,0.0440885248885231
"US",106,2019-10-01,4,"5y5y",0.127994101532894,0.0973098424411878,0.0499343013375275
"US",107,2019-11-01,4,"5y5y",0.143100238590765,0.115002871641333,0.0646009937034132
"US",108,2019-12-01,4,"5y5y",0.149872636493769,0.0712399146143666,0.0666551334734624
"US",109,2020-01-01,4,"5y5y",0.150785936545659,0.147513494127642,0.0659968477555472
"US",110,2020-02-01,4,"5y5y",0.132939337508009,0.117547947714351,0.0625896112533492
"US",111,2020-03-01,4,"5y5y",0.136386496352725,0.122662708620396,0.050497915402604
"US",112,2020-04-01,4,"5y5y",0.0921369144273594,0.0801021658285112,0.0355876478305489
"US",113,2020-05-01,4,"5y5y",0.118740096519816,0.11278137478884,0.0315618852239563
"US",114,2020-06-01,4,"5y5y",0.141529782471779,0.141088168388618,0.0654507960760689
"US",115,2020-07-01,4,"5y5y",0.148060780323134,0.115522847206379,0.0500151398070837
"US",116,2020-08-01,4,"5y5y",0.154579897206842,0.15268289595252,0.0598432600721313
"US",117,2020-09-01,4,"5y5y",0.174969227944311,0.154512267027118,0.0669242212766649
"US",118,2020-10-01,4,"5y5y",0.188428499463063,0.170628847074566,0.0950386052805344
"US",119,2020-11-01,4,"5y5y",0.207234977019259,0.184107607454337,0.10270881073731
"US",120,2020-12-01,4,"5y5y",0.220030385990103,0.19653804917108,0.11246016282374
"US",121,2021-01-01,4,"5y5y",0.221705510638243,0.20729909911601,0.119948179603243
"US",122,2021-02-01,4,"5y5y",0.23481567520011,0.21266621034109,0.138086768024446
"US",123,2021-03-01,4,"5y5y",0.199792960959468,0.164449585275717,0.104455129428099
"US",124,2021-04-01,4,"5y5y",0.236129563775473,0.183760272806574,0.0432156447299515
"US",125,2021-05-01,4,"5y5y",0.243607702466627,0.198992735705767,0.0663102402983119
"US",126,2021-06-01,4,"5y5y",0.24655447518605,0.237343534988344,0.148047199982904
"US",127,2021-07-01,4,"5y5y",0.226414797010997,0.249363081765515,0.133812049212513
"US",128,2021-08-01,4,"5y5y",0.224448692090666,0.222052714964472,0.145874414869388
"US",129,2021-09-01,4,"5y5y",0.24096409951538,0.234394078447354,0.167241558262643
"US",130,2021-10-01,4,"5y5y",0.24594404643367,0.235570075796626,0.152445454597408
"US",131,2021-11-01,4,"5y5y",0.27860996955302,0.220733232217041,0.220000149164727
"US",132,2021-12-01,4,"5y5y",0.275028453038096,0.262835785559534,0.236743340661501
"US",133,2022-01-01,4,"5y5y",0.289624175574162,0.26918381636631,0.231358305027692
"US",134,2022-02-01,4,"5y5y",0.248003667842124,0.246231359278902,0.182117618761293
"US",135,2022-03-01,4,"5y5y",0.31996178979668,0.233083665464667,0.340093130779218
"US",136,2022-04-01,4,"5y5y",0.319491292276084,0.26178689304495,0.263143186687704
"US",137,2022-05-01,4,"5y5y",0.317313118802779,0.240638557417963,0.260940842553199
"US",138,2022-06-01,4,"5y5y",0.316508813978444,0.251086779692506,0.246714385167611
"US",139,2022-07-01,4,"5y5y",0.260343061388965,0.26936677874566,0.192345632319786
"US",140,2022-08-01,4,"5y5y",0.278507920360284,0.259908131729972,0.204312802500207
"US",141,2022-09-01,4,"5y5y",0.267910464785481,0.208696507984213,0.214491943103635
"US",142,2022-10-01,4,"5y5y",0.242782448590343,0.25007489676967,0.153830003252352
"US",143,2022-11-01,4,"5y5y",0.309854190387013,0.293417779336787,0.202441812587408
"US",144,2022-12-01,4,"5y5y",0.288521985173995,0.267524392545578,0.246096661110756
"US",145,2023-01-01,4,"5y5y",0.288043981980439,0.267046010887262,0.155349879715587
"US",146,2023-02-01,4,"5y5y",0.28695431943645,0.25759624706523,0.226368808163243
"US",147,2023-03-01,4,"5y5y",0.303254696327555,0.2328166618778,0.230082975485039
"US",148,2023-04-01,4,"5y5y",0.291143024287324,0.239033665520207,0.205525901343858
"US",149,2023-05-01,4,"5y5y",0.305164293061074,0.269915283500022,0.266262121334903
"US",150,2023-06-01,4,"5y5y",0.302627602149972,0.274869287320135,0.241189908301734
"US",151,2023-07-01,4,"5y5y",0.302465808414683,0.282837827534297,0.228360315817425
"US",152,2023-08-01,4,"5y5y",0.316796336361716,0.280024547800938,0.252035138754321
"US",153,2023-09-01,4,"5y5y",0.318409098269128,0.27427414136153,0.253343151743942
"US",154,2023-10-01,4,"5y5y",0.327443382652734,0.282196745047038,0.254699428806173
"US",155,2023-11-01,4,"5y5y",0.298127283228634,0.252203683144513,0.227179937699888
"US",156,2023-12-01,4,"5y5y",0.298360874253331,0.253967708909162,0.231692565039149
"US",157,2024-01-01,4,"5y5y",0.308280437542157,0.270856367623539,0.232425949057106
"US",158,2024-02-01,4,"5y5y",0.312384270132159,0.266352862621811,0.231263386133312
"US",159,2024-03-01,4,"5y5y",0.30233997266009,0.258637463115478,0.236019932132253
"US",160,2024-04-01,4,"5y5y",0.314789163742542,0.271979940871678,0.254224783909911
"US",161,2024-05-01,4,"5y5y",0.313104750806045,0.277920088119034,0.246135390446599
"US",162,2024-06-01,4,"5y5y",0.305151081210185,0.27655582262321,0.224168757650256
"US",163,2024-07-01,4,"5y5y",0.295776812693398,0.267959465127108,0.227360555016591
"US",164,2024-08-01,4,"5y5y",0.276305278880688,0.251078478186585,0.214720537170281
"US",165,2024-09-01,4,"5y5y",0.280810291607131,0.254477394636994,0.207321273122764
"US",166,2024-10-01,4,"5y5y",0.295777288545178,0.26643638511644,0.244268909410104
"US",1,2011-01-01,5,"10y",0.11741993439688,0.0904449198199776,0.12215339609954
"US",2,2011-02-01,5,"10y",0.142445304294007,0.117917080600169,0.144169060028572
"US",3,2011-03-01,5,"10y",0.146221794889759,0.11700579124581,0.127492342889619
"US",4,2011-04-01,5,"10y",0.155700007954063,0.0936050834398805,0.133074503557582
"US",5,2011-05-01,5,"10y",0.149478401208184,0.101408026093957,0.100826516970102
"US",6,2011-06-01,5,"10y",0.121425804058934,0.0815351906955249,0.104822800959307
"US",7,2011-07-01,5,"10y",0.121956440507167,0.0839673395185702,0.15759534494535
"US",8,2011-08-01,5,"10y",0.127280378917418,0.0850131114670094,0.148274993306519
"US",9,2011-09-01,5,"10y",0.0979716134860456,0.059892788264718,0.0877417693026133
"US",10,2011-10-01,5,"10y",0.0735572851358892,0.0314996361462338,0.0516181007849347
"US",11,2011-11-01,5,"10y",0.0866146915174724,0.0490985562270701,0.091487658453011
"US",12,2011-12-01,5,"10y",0.0958199383364792,0.0655013812120379,0.086490652391472
"US",13,2012-01-01,5,"10y",0.0748367777345598,0.0480151728006559,0.0740616729858193
"US",14,2012-02-01,5,"10y",0.101868423658885,0.0642293683644991,0.103594171473067
"US",15,2012-03-01,5,"10y",0.10635382533383,0.0714681302711067,0.0967047152884595
"US",16,2012-04-01,5,"10y",0.101843028175612,0.0654170493055251,0.0957267413325597
"US",17,2012-05-01,5,"10y",0.0953289460403783,0.0547789209878591,0.0768281350202536
"US",18,2012-06-01,5,"10y",0.0750077105406919,0.0472551485196428,0.0651329222831064
"US",19,2012-07-01,5,"10y",0.0698035056534454,0.0438048766832272,0.0628549940440299
"US",20,2012-08-01,5,"10y",0.0753607905735472,0.036375296888244,0.0656493979096475
"US",21,2012-09-01,5,"10y",0.0730846954865825,0.0385051696065441,0.0542626688231873
"US",22,2012-10-01,5,"10y",0.0866399846374477,0.0552063816144624,0.0929596601801421
"US",23,2012-11-01,5,"10y",0.0982667382117832,0.0521550117989897,0.095244672007285
"US",24,2012-12-01,5,"10y",0.098010520256541,0.0481470879911364,0.0508000921287578
"US",25,2013-01-01,5,"10y",0.100965381830964,0.0701305097901555,0.102134835788054
"US",26,2013-02-01,5,"10y",0.103743822999401,0.047699106519128,0.0688927230732742
"US",27,2013-03-01,5,"10y",0.0984861724230629,0.0699573278926004,0.0566465618854218
"US",28,2013-04-01,5,"10y",0.0966599739051321,0.0707613323860787,0.0517606813514235
"US",29,2013-05-01,5,"10y",0.0753449561805642,0.0492985756924478,0.0380558010878993
"US",30,2013-06-01,5,"10y",0.0724929221996706,0.0453588827521023,0.0810246533702158
"US",31,2013-07-01,5,"10y",0.076915004812599,0.0484610635271318,0.0458408902974987
"US",32,2013-08-01,5,"10y",0.0832135083543686,0.0555078014762579,0.039972596909124
"US",33,2013-09-01,5,"10y",0.0552087859226948,0.018711188917451,0.0154747970370388
"US",34,2013-10-01,5,"10y",0.0578860900397518,0.0210761256226004,0.00968961165547407
"US",35,2013-11-01,5,"10y",0.050009205359607,0.0168891541100165,0.0104787278572616
"US",36,2013-12-01,5,"10y",0.050137657520375,0.0183349213531133,0.013245319853156
"US",37,2014-01-01,5,"10y",0.0536116349752641,0.0330720681836437,0.0275008091684715
"US",38,2014-02-01,5,"10y",0.0498668815507314,0.0295496397294265,0.0144392552022487
"US",39,2014-03-01,5,"10y",0.046206858381613,0.0265721145190758,0.00828407182132562
"US",40,2014-04-01,5,"10y",0.0421152825633326,0.0142756364405607,0.00522910948752872
"US",41,2014-05-01,5,"10y",0.0360418569695502,0.0117514834853546,0.0483643253690072
"US",42,2014-06-01,5,"10y",0.0377069549845315,0.0117501546806476,0.0529777751881687
"US",43,2014-07-01,5,"10y",0.0365313632802654,0.0105809527482294,0.00174733309864751
"US",44,2014-08-01,5,"10y",0.0300628676222245,0.00802062271254455,0.000540862802608213
"US",45,2014-09-01,5,"10y",0.0245632608097213,0.00692460568608763,0.000219519391055514
"US",46,2014-10-01,5,"10y",0.0192648289838696,0.00457306689877941,0.000136103786856156
"US",47,2014-11-01,5,"10y",0.0205179684710721,0.00519085642701936,0.00012402432818536
"US",48,2014-12-01,5,"10y",0.0186424355901409,0.00331902933064367,8.99585852657358e-05
"US",49,2015-01-01,5,"10y",0.0147883926443672,2.1407879025682e-15,0.00195839843342389
"US",50,2015-02-01,5,"10y",0.0140495068610511,1.73925550902583e-05,0.00108237661630166
"US",51,2015-03-01,5,"10y",0.0175667162142821,6.9113012395406e-08,0.00137738210056996
"US",52,2015-04-01,5,"10y",0.0229714155606753,0.00174795689943273,0.00236448598331438
"US",53,2015-05-01,5,"10y",0.0281291099600797,0.0118064293234785,0.0038011759712268
"US",54,2015-06-01,5,"10y",0.026340660465822,0.00745795559491306,0.000167483692807901
"US",55,2015-07-01,5,"10y",0.029722032417756,0.00868685217267382,0.000237566555911121
"US",56,2015-08-01,5,"10y",0.01918380442132,0.00490235986595839,0.000103798344953479
"US",57,2015-09-01,5,"10y",0.0178998202324573,0.00463838257529028,0.00327917688419499
"US",58,2015-10-01,5,"10y",0.0158535938626944,0.00456361791805392,6.39384040575851e-05
"US",59,2015-11-01,5,"10y",0.0150515421595427,0.000954696593335594,7.04897959436091e-05
"US",60,2015-12-01,5,"10y",0.0163793780228723,0.00463579608157122,9.00828059354291e-05
"US",61,2016-01-01,5,"10y",0.0151084791722926,0.00438959057442152,5.97384812345176e-05
"US",62,2016-02-01,5,"10y",0.00909135958665919,0.00544902739298672,3.04730542115977e-05
"US",63,2016-03-01,5,"10y",0.00792517234683632,0.00173554556996513,0.000810632014584011
"US",64,2016-04-01,5,"10y",0.00940532832991581,0.00189376589927683,5.1337066420262e-05
"US",65,2016-05-01,5,"10y",0.00923025443712788,0.00252166430950693,5.72130852215095e-05
"US",66,2016-06-01,5,"10y",0.00797443431779155,0.00192912777057492,0.000757489510527205
"US",67,2016-07-01,5,"10y",0.00679461503084822,3.14940896170271e-05,4.04583871771507e-05
"US",68,2016-08-01,5,"10y",0.00627953920789903,0.00516944165710024,2.5667888677615e-05
