"area","month","date","psi","threshold","q_5y","q_10y","q_5y5y","qr_5y","qr_10y","qr_5y5y","qrh_5y","qrh_10y","q_data_n_5y","q_data_n_10y","q_data_r_5y","q_data_r_10y","p_5y","p_10y","p_5y5y","ez_converged","ratio_5y","ratio_10y","ratio_5y5y"
"EZ",119,2020-11-01,1.5,5,0,3.83971187390894e-08,0.0507760204465437,0,4.54246767819801e-08,0.0562519898351622,0,5.95324234550559e-08,0.00113476443774674,0.000507839211548178,0.00149262685303348,0.000816538656743375,0,2.60411567260589e-09,0.0132543079684922,TRUE,NA,0.0573282157868635,0.235623806505902
"EZ",120,2020-12-01,1.5,4,9.67847084940106e-137,3.17086487066035e-183,2.05194659292509e-85,1.04471327520895e-136,3.12451096348735e-183,2.19834482240475e-85,1.13321713046105e-136,4.24835197860019e-183,0.00659133899631326,0.00638447485036808,0.0078753864099917,0.00876821094576329,7.83339421354132e-137,6.21272324032006e-183,1.66558383826059e-85,TRUE,0.749812833762889,1.98838260224437,0.757653586136967
"EZ",120,2020-12-01,1.5,5,0,0,3.01438947642692e-124,0,0,3.11436191686206e-124,0,0,0.00151259796608616,0.000944585571896583,0.00196887809120025,0.00152767489617357,0,0,3.27197772979379e-124,TRUE,NA,NA,1.05060934378832
"EZ",121,2021-01-01,1.5,4,0.00768751589158009,0.00509605011245555,0.0824497445541201,0.0081013612615066,0.00544116057576904,0.0840810969766367,0.00896424883611307,0.00664514576945066,0.00736521109145305,0.00668905443201673,0.00874574391599986,0.00909690441317081,0.00525334716338722,0.00338854097568992,0.0732287976949955,TRUE,0.64845240124624,0.622760701233485,0.870930569749148
"EZ",121,2021-01-01,1.5,5,0.000248369789902376,6.03916445993177e-07,0.000329496126235397,0.000267727617248723,6.81978853503648e-07,0.000348638397390473,0.000311391886016574,9.14920844123059e-07,0.00154910011676579,0.000898628559110604,0.00200196798603622,0.00143719061946076,0.000116863850915116,1.30208289480258e-07,0.000147934922183189,TRUE,0.436502786361959,0.190927165573121,0.424321942994429
"EZ",122,2021-02-01,1.5,4,0.003570087985769,0.014900830222464,0.107015015877781,0.00387508996504341,0.0165123339497972,0.11372023871251,0.00412172192769824,0.0191292454654173,0.00879005254161103,0.00813099723805,0.0102814075198622,0.0108535259497073,0.00136173609816881,0.00494837624919709,0.0602549316473612,TRUE,0.351407608714332,0.299677578241923,0.529852314148658
"EZ",122,2021-02-01,1.5,5,0.000129802337687146,0.000112680181577473,0.0268880418257939,0.00014516662345778,0.000134702805259927,0.0295095432570859,0.000161074317626676,0.000167860272188807,0.00161404589008607,0.000990948237662437,0.00205403389137661,0.0015541350346523,3.15762750491211e-05,1.17344068619574e-05,0.00962291892505056,TRUE,0.217517458882721,0.0871133072493501,0.326095149667892
"EZ",123,2021-03-01,1.5,4,0.000382804469608814,0.00758334343494094,0.0573053928258661,0.000399174953352702,0.00788530597864415,0.0588672642482936,0.00043991226625479,0.0098710526112948,0.0104379813586001,0.00954797163076426,0.012178677124558,0.0127199656886394,0.000155718689309033,0.00377031059429618,0.0450196087484863,TRUE,0.390101352805678,0.478143854468977,0.764764752080207
"EZ",123,2021-03-01,1.5,5,1.85738525226281e-10,6.74981528851637e-05,0.00622574482457157,1.96606911141116e-10,7.2013700419728e-05,0.006515182967232,2.30071664480141e-10,0.000101932732919035,0.00204487568886202,0.0013414511636558,0.00259975975206335,0.00210742344785777,3.14199495783121e-11,6.89831629951627e-06,0.00190127873643374,TRUE,0.159811012725591,0.0957917210101661,0.291822769367521
"EZ",124,2021-04-01,1.5,4,0.000478337222172688,0.00111316318961739,0.0984140123813574,0.000520126272897843,0.00122154171255988,0.100791623187709,0.000552430244955203,0.00142728646525043,0.00890662497201755,0.0097947971503054,0.0104331423037519,0.0129894830079492,0.000270283279857838,0.000721028608538624,0.0836462484596834,TRUE,0.519649350439416,0.590261143868453,0.829892860281699
