"month","date","label","q_5y_gt4","q_10y_gt4","q_5y5y_gt4","q_data_5y_gt4","q_data_10y_gt4","q_data_5y5y_gt4","q_real_5y_gt4","q_real_10y_gt4","q_real_5y5y_gt4","q_data_real_5y_gt4","q_data_real_10y_gt4","q_data_real_5y5y_gt4","p_5y_gt4","p_10y_gt4","p_5y5y_gt4","q_5y_lt0","q_10y_lt0","q_5y5y_lt0","q_data_5y_lt0","q_data_10y_lt0","q_data_5y5y_lt0","q_real_5y_lt0","q_real_10y_lt0","q_real_5y5y_lt0","q_data_real_5y_lt0","q_data_real_10y_lt0","q_data_real_5y5y_lt0","p_5y_lt0","p_10y_lt0","p_5y5y_lt0","psi","ez_converged","ez_iter","ez_err","model"
11,2011-11-01,"2011-11",0.0906717807687031,0.14356653533389,0.250492659713426,0.0968026891287207,0.113912984319272,0.345635033252189,0.0955254730788336,0.152865394007645,0.263178974960722,0.111965892331106,0.151916920997826,0.345635033252189,0.039977682276506,0.0407826387500535,0.100771175315799,0.108627938008842,0.101368479301473,0.170900914978165,0.0534372837029057,0.0567413064038418,0.266174839488986,0.101474809509384,0.0916105454111045,0.157295962451778,0.044711003066982,0.0385582161803882,0.266174839488986,0.115360259934557,0.114429559919659,0.206450843790268,1.5,TRUE,2049,9.97024685034376e-11,"baseline_6p"
12,2011-12-01,"2011-12",0.134142323410017,0.187834939585066,0.296269398838515,0.141988215703617,0.161584700834917,0.371823753572135,0.141136450091053,0.20017640608832,0.312323945124034,0.165363530528987,0.216225276541019,0.371823753572135,0.0564236606768039,0.0542881848546527,0.115038621478436,0.127937823894043,0.115371655076002,0.189148498065041,0.0710725955839657,0.0667183105149306,0.280713743901642,0.119592292696272,0.104359785772349,0.174114687564233,0.0591323437197117,0.0452898408684764,0.280713743901642,0.140032892552474,0.13958056612104,0.244026511693657,1.5,TRUE,1702,9.98525706563669e-11,"baseline_6p"
13,2012-01-01,"2012-01",0.132144132875947,0.181206173910917,0.293552460791342,0.13962704123588,0.154789188013373,0.368403104042827,0.139208356292146,0.193527046540857,0.309737278644307,0.162918424243563,0.205300456855426,0.368403104042827,0.0568746187919283,0.0535994292717251,0.117758446882519,0.127409793509075,0.102184195152323,0.174195245531521,0.0668280969236945,0.0655611112550222,0.278856599856879,0.118643752443045,0.0916000182332677,0.1595986931591,0.0560639306510593,0.0452120639030625,0.278856599856879,0.138074792900244,0.122331298493821,0.223198906267345,1.5,TRUE,1709,9.94335724868733e-11,"baseline_6p"
14,2012-02-01,"2012-02",0.1561634577912,0.215035401901779,0.337101061919216,0.162688636434131,0.193429814843441,0.393577632621393,0.164216862718524,0.22885744203194,0.354636610107351,0.18626675171128,0.251359410691988,0.393577632621393,0.0664811411936987,0.065085970240914,0.136208881692173,0.12677046467741,0.0910602799846715,0.156713665092874,0.065460457312122,0.0549993675804952,0.263317100339563,0.117665469158839,0.0810381007562119,0.14282923235537,0.0554522534839688,0.0378925898964689,0.263317100339563,0.141103391283107,0.114929216279289,0.212637702957015,1.5,TRUE,1557,9.91966508934183e-11,"baseline_6p"
15,2012-03-01,"2012-03",0.13293202775048,0.171666891772977,0.351319550078489,0.139603408594105,0.155704525983647,0.370559818289081,0.140896809837694,0.184220627728508,0.367734813379381,0.163997614055056,0.209896728138622,0.370559818289081,0.0692685424663513,0.0658586190986479,0.191631988136146,0.137551796141915,0.0425700211477294,0.0832849774492396,0.0694861252710472,0.0599230311805945,0.27619362579348,0.12648219150705,0.0365862743497813,0.0749588922717259,0.0579855625832496,0.0412421320747592,0.27619362579348,0.145413194229613,0.0487886679525628,0.103878035601792,1.5,TRUE,1716,9.95215021504237e-11,"baseline_6p"
16,2012-04-01,"2012-04",0.122031812348074,0.187318939704681,0.296920982748584,0.128291595487348,0.162377327558104,0.371507073055458,0.128293701288825,0.198925703401515,0.312162205729506,0.149875598513676,0.216277345779434,0.371507073055458,0.0478715440864521,0.049507133514424,0.10618984723051,0.118251491345873,0.106271297240262,0.177883341520199,0.0498814353184025,0.0605749737092235,0.273554010314601,0.110454961697463,0.0959525419553414,0.163628016922616,0.041802484888437,0.0416416060825323,0.273554010314601,0.128638295746325,0.127650027297935,0.229715801607605,1.5,TRUE,1698,9.91915438675051e-11,"baseline_6p"
17,2012-05-01,"2012-05",0.116403952027362,0.183408626439758,0.364742949986152,0.131679354555869,0.164614552301414,0.376637063942347,0.120460855454115,0.190611847825616,0.375669769277793,0.152430328756372,0.218955411292548,0.376637063942347,0.0467586656572697,0.0587198922572672,0.161714423637766,0.156691987541333,0.0569425225811175,0.0977917039960786,0.0570142017855568,0.0625694421858776,0.272141717922016,0.147829057300338,0.0508747625009604,0.0904691836159444,0.0486783664263685,0.0432625390445464,0.272141717922016,0.158541259028608,0.0621337534003696,0.119080583274262,1.5,TRUE,1568,9.97024685034376e-11,"baseline_6p"
18,2012-06-01,"2012-06",0.0733301829440604,0.133570586363263,0.338865126189743,0.0867524143124605,0.124292646307582,0.351958837442837,0.074518472636053,0.137669925920888,0.347687193453247,0.10338491898584,0.172140096505637,0.351958837442837,0.00852385107641298,0.0175315464467475,0.0683825580438934,0.148016816410407,0.168422729153754,0.267489879357325,0.106823255559567,0.100271451686638,0.300210085296355,0.142387880319554,0.156546946955015,0.253542201258246,0.0939213641242584,0.073237693278893,0.300210085296355,0.111057296740364,0.260772110371097,0.426693109499491,1.5,TRUE,490,9.66655852585596e-11,"baseline_6p"
19,2012-07-01,"2012-07",0.0885325910636319,0.153738977564071,0.355903295369088,0.0947845521888745,0.14734040371092,0.366965099433902,0.0899931438383668,0.157195853548343,0.363742776928976,0.111194246801447,0.195272727857797,0.366965099433902,0.00980846332768416,0.0201870134209598,0.0693688966769155,0.134150735676024,0.140909940955632,0.234495956710541,0.0949143303799853,0.0949000314916785,0.288688458400569,0.129078301080983,0.130542517876949,0.222031132327842,0.0833260032240562,0.0697876116063391,0.288688458400569,0.094426344253726,0.198281489083828,0.345633243828547,1.5,TRUE,493,9.9168798173288e-11,"baseline_6p"
20,2012-08-01,"2012-08",0.100787098826004,0.160840875643177,0.346861978798459,0.117188894265503,0.140480112345504,0.362978555949127,0.104354094801037,0.167198580756417,0.357292321857265,0.137498532887915,0.19266070861706,0.362978555949127,0.0399675154728279,0.0499869919806019,0.151506831396474,0.177511449017377,0.0676124565336797,0.109305213456861,0.0707845555994077,0.0700045235407704,0.282609680258714,0.167959325201976,0.0608035480412844,0.101512586251941,0.0616238157668647,0.0493462752522083,0.282609680258714,0.178758316470547,0.0736744155397814,0.131697114273384,1.5,TRUE,1553,9.90800774758327e-11,"baseline_6p"
